"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2009","Navy","FBS Independents","3.989","38","56","35","74","","47","59.605","60.469","52.295","57.496"
"2009","Michigan State","Big Ten","7.113","65","40","51","39","","43","58.328","64.778","46.557","58.801"
"2009","Illinois","Big Ten","0.364","91","69","99","46","","82","38.994","51.416","34.253","40.65"
"2009","Wisconsin","Big Ten","9.736","22","30","12","62","","22","69.857","67.778","64.88","49.57"
"2009","Iowa","Big Ten","12.219","7","23","41","37","","33","67.249","39.088","79.894","66.559"
"2009","Michigan","Big Ten","3.113","76","60","64","60","","62","48.505","49.717","45.733","55.682"
"2009","Ohio State","Big Ten","18.986","9","7","7","50","","6","79.129","60.626","83.726","59.212"
"2009","Minnesota","Big Ten","2.803","62","61","90","32","","74","47.304","32.351","58.9","59.356"
"2009","Purdue","Big Ten","1.377","71","62","56","43","","49","52.779","54.445","56.531","31.56"
"2009","Indiana","Big Ten","-4.653","86","85","75","58","","67","40.043","45.333","39.182","47.999"
"2009","Northwestern","Big Ten","0.403","51","68","57","68","","64","52.123","52.149","53.642","43.154"
"2009","USC","Pac-10","14.928","17","13","28","15","","15","69.803","63.64","68.192","51.496"
"2009","UCLA","Pac-10","6.41","44","47","81","19","","59","56.111","32.394","69.83","69.754"
"2009","Washington","Pac-10","5.116","54","51","79","4","","57","54.492","61.207","50.705","35.672"
"2009","Arizona State","Pac-10","3.404","78","58","91","36","","73","48.593","27.714","72.34","45.664"
"2009","Stanford","Pac-10","12.937","32","21","16","18","","13","69.725","83.739","36.696","75.544"
"2009","California","Pac-10","10.078","36","29","63","31","","50","58.769","65.155","55.374","33.697"
"2009","Arizona","Pac-10","9.522","28","32","40","12","","23","67.335","64.129","65.082","48.525"
"2009","Oregon State","Pac-10","9.368","35","34","17","28","","17","66.983","73.038","47.556","66.407"
"2009","Oregon","Pac-10","16.454","10","9","27","7","","16","74.671","70.486","69.997","52.617"
"2009","Washington State","Pac-10","-17.531","104","113","120","8","","112","9.275","12.464","21.035","27.185"
"2009","Syracuse","Big East","-5.379","84","87","95","55","","84","36.391","36.761","42.015","46.717"
"2009","Pittsburgh","Big East","13.707","23","19","8","57","","14","73.667","75.836","60.211","60.192"
"2009","Rutgers","Big East","4.641","48","54","21","84","","45","58.344","36.035","72.021","62.013"
"2009","West Virginia","Big East","7.877","31","37","33","54","","32","61.569","56.327","64.435","44.501"
"2009","Penn State","Big Ten","16.978","12","8","5","64","","10","76.829","71.195","79.289","32.859"
"2009","Nebraska","Big 12","16.129","15","11","11","34","","9","77.363","41.345","86.298","78.275"
"2009","Colorado","Big 12","-1.619","89","77","108","45","","94","36.992","24.549","62.633","34.272"
"2009","Kansas State","Big 12","0.975","59","64","70","56","","66","48.216","46.58","47.727","58.851"
"2009","Missouri","Big 12","6.965","43","42","48","52","","46","58.931","58.18","56","51.38"
"2009","Kansas","Big 12","6.675","66","45","65","38","","53","53.691","58.701","50.381","39.895"
"2009","Iowa State","Big 12","-0.587","57","73","59","61","","58","51.426","52.201","45.351","64.824"
"2009","Texas","Big 12","27.378","3","2","6","29","","4","86.247","67.367","89.065","66.911"
"2009","Texas Tech","Big 12","14.369","19","16","20","51","","19","69.047","63.471","66.739","52.466"
"2009","Texas A&M","Big 12","4.833","60","52","47","40","","37","56.412","69.58","46.335","27.934"
"2009","Oklahoma","Big 12","22.66","26","4","15","14","","8","76.503","52.171","88.928","49.968"
"2009","Oklahoma State","Big 12","10.601","18","28","31","33","","28","63.725","44.877","71.777","63.354"
"2009","Baylor","Big 12","0.59","73","66","105","11","","76","42.983","45.787","47.2","36.159"
"2009","Utah","Mountain West","7.137","25","39","37","82","","48","64.401","45.137","72.485","63.402"
"2009","BYU","Mountain West","10.808","14","27","13","73","","30","68.624","71.791","58.683","46.829"
"2009","Colorado State","Mountain West","-9.068","106","97","78","81","","83","31.403","48.882","30.114","25.441"
"2009","Wyoming","Mountain West","-8.617","64","95","102","69","","96","36.765","27.749","51.512","50.055"
"2009","San Diego State","Mountain West","-11.034","101","104","97","86","","95","28.248","34.792","33.335","37.219"
"2009","New Mexico","Mountain West","-16.924","115","112","115","66","","110","18.689","25.392","26.908","31.188"
"2009","Air Force","Mountain West","6.677","55","44","25","83","","38","65.448","49.333","77.19","47.52"
