"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2024","Auburn","SEC","10.149","0","19","0","0","5","0","","","",""
"2024","UAB","American Athletic","-6.968","0","98","0","0","119","0","","","",""
"2024","South Alabama","Sun Belt","-4.877","0","84","0","0","98","0","","","",""
"2024","Arkansas","SEC","4.55","0","44","0","0","21","0","","","",""
"2024","Arizona State","Big 12","-0.308","0","63","0","0","48","0","","","",""
"2024","Arizona","Big 12","9.187","0","24","0","0","59","0","","","",""
"2024","San Diego State","Mountain West","-3.401","0","80","0","0","104","0","","","",""
"2024","San José State","Mountain West","-3.77","0","81","0","0","107","0","","","",""
"2024","Stanford","ACC","0.736","0","59","0","0","28","0","","","",""
"2024","California","ACC","4.681","0","43","0","0","42","0","","","",""
"2024","UCLA","Big Ten","4.921","0","40","0","0","12","0","","","",""
"2024","USC","Big Ten","11.064","0","18","0","0","27","0","","","",""
"2024","Colorado State","Mountain West","-8.373","0","105","0","0","49","0","","","",""
"2024","Colorado","Big 12","6","0","36","0","0","45","0","","","",""
"2024","Connecticut","FBS Independents","-9.339","0","110","0","0","115","0","","","",""
"2024","Florida State","ACC","15.056","0","11","0","0","31","0","","","",""
"2024","Jacksonville State","Conference USA","-6.271","0","93","0","0","116","0","","","",""
"2024","Florida","SEC","10.068","0","20","0","0","1","0","","","",""
"2024","South Florida","American Athletic","-5.467","0","88","0","0","68","0","","","",""
"2024","Georgia Tech","ACC","2.07","0","54","0","0","9","0","","","",""
"2024","Georgia","SEC","26.799","0","1","0","0","3","0","","","",""
"2024","Hawai'i","Mountain West","-9.841","0","112","0","0","111","0","","","",""
"2024","Iowa State","Big 12","3.792","0","47","0","0","58","0","","","",""
"2024","Boise State","Mountain West","3.69","0","48","0","0","51","0","","","",""
"2024","Northwestern","Big Ten","1.267","0","57","0","0","39","0","","","",""
"2024","Indiana","Big Ten","-2.446","0","77","0","0","43","0","","","",""
"2024","Notre Dame","FBS Independents","19.017","0","7","0","0","55","0","","","",""
"2024","Kentucky","SEC","6.212","0","34","0","0","4","0","","","",""
"2024","Louisville","ACC","10.014","0","21","0","0","34","0","","","",""
"2024","Western Kentucky","Conference USA","-9.287","0","109","0","0","80","0","","","",""
"2024","LSU","SEC","14.636","0","13","0","0","23","0","","","",""
"2024","Boston College","ACC","1.001","0","58","0","0","40","0","","","",""
"2024","UMass","FBS Independents","-12.907","0","125","0","0","35","0","","","",""
"2024","Maryland","Big Ten","4.082","0","46","0","0","25","0","","","",""
"2024","Michigan State","Big Ten","-1.026","0","68","0","0","19","0","","","",""
"2024","Michigan","Big Ten","14.859","0","12","0","0","18","0","","","",""
"2024","Minnesota","Big Ten","0.427","0","61","0","0","41","0","","","",""
"2024","Missouri","SEC","15.363","0","10","0","0","29","0","","","",""
"2024","Ole Miss","SEC","12.017","0","16","0","0","22","0","","","",""
"2024","Duke","ACC","2.301","0","52","0","0","61","0","","","",""
"2024","East Carolina","American Athletic","-6.412","0","94","0","0","130","0","","","",""
"2024","NC State","ACC","7.511","0","28","0","0","54","0","","","",""
"2024","North Carolina","ACC","4.716","0","42","0","0","75","0","","","",""
"2024","Wake Forest","ACC","-1.296","0","71","0","0","56","0","","","",""
"2024","Nebraska","Big Ten","4.764","0","41","0","0","32","0","","","",""
"2024","Rutgers","Big Ten","4.085","0","45","0","0","78","0","","","",""
"2024","New Mexico State","Conference USA","-13.507","0","127","0","0","100","0","","","",""
"2024","New Mexico","Mountain West","-10.753","0","117","0","0","92","0","","","",""
"2024","Syracuse","ACC","-1.158","0","70","0","0","82","0","","","",""
"2024","Bowling Green","Mid-American","-7.575","0","103","0","0","74","0","","","",""
"2024","Miami (OH)","Mid-American","-5.576","0","90","0","0","85","0","","","",""
"2024","Ohio State","Big Ten","22.207","0","4","0","0","16","0","","","",""
"2024","Ohio","Mid-American","-9.859","0","113","0","0","123","0","","","",""
"2024","Oklahoma State","Big 12","7.567","0","26","0","0","62","0","","","",""
"2024","Oklahoma","SEC","17.191","0","8","0","0","7","0","","","",""
"2024","Tulsa","American Athletic","-7.05","0","101","0","0","120","0","","","",""
"2024","Oregon State","Pac-12","5.265","0","38","0","0","67","0","","","",""
"2024","Penn State","Big Ten","19.785","0","6","0","0","33","0","","","",""
"2024","Temple","American Athletic","-17.676","0","133","0","0","84","0","","","",""
"2024","Pittsburgh","ACC","2.2","0","53","0","0","66","0","","","",""
"2024","Clemson","ACC","12.208","0","15","0","0","26","0","","","",""
"2024","Memphis","American Athletic","-0.819","0","66","0","0","88","0","","","",""
"2024","Vanderbilt","SEC","-2.214","0","76","0","0","14","0","","","",""
"2024","Baylor","Big 12","1.94","0","55","0","0","57","0","","","",""
"2024","Rice","American Athletic","-6.613","0","95","0","0","125","0","","","",""
"2024","Texas A&M","SEC","13.577","0","14","0","0","20","0","","","",""
"2024","Houston","Big 12","-2.694","0","78","0","0","37","0","","","",""
"2024","North Texas","American Athletic","-8.446","0","106","0","0","106","0","","","",""
"2024","Texas","SEC","22.852","0","3","0","0","10","0","","","",""
"2024","BYU","Big 12","-1.521","0","73","0","0","52","0","","","",""
"2024","Utah","Big 12","7.533","0","27","0","0","72","0","","","",""
"2024","James Madison","Sun Belt","2.621","0","51","0","0","122","0","","","",""
"2024","Virginia","ACC","-1.392","0","72","0","0","38","0","","","",""
"2024","Virginia Tech","ACC","2.993","0","50","0","0","79","0","","","",""
"2024","Washington","Big Ten","6.705","0","31","0","0","13","0","","","",""
"2024","Washington State","Pac-12","-0.457","0","64","0","0","96","0","","","",""
"2024","Wisconsin","Big Ten","5.041","0","39","0","0","24","0","","","",""
"2024","Marshall","Sun Belt","-5.284","0","85","0","0","64","0","","","",""
"2024","West Virginia","Big 12","6.035","0","35","0","0","36","0","","","",""
"2024","Fresno State","Mountain West","-1.589","0","74","0","0","86","0","","","",""
"2024","Georgia Southern","Sun Belt","-6.659","0","96","0","0","95","0","","","",""
"2024","Old Dominion","Sun Belt","-9.077","0","108","0","0","103","0","","","",""
"2024","Louisiana","Sun Belt","-6.145","0","92","0","0","124","0","","","",""
"2024","Coastal Carolina","Sun Belt","-6.052","0","91","0","0","118","0","","","",""
"2024","Texas State","Sun Belt","-4.671","0","82","0","0","129","0","","","",""
"2024","Utah State","Mountain West","-7.472","0","102","0","0","93","0","","","",""
"2024","Alabama","SEC","21.911","0","5","0","0","6","0","","","",""
"2024","Kennesaw State","Conference USA","-14.958","0","131","0","0","128","0","","","",""
"2024","Mississippi State","SEC","3.46","0","49","0","0","2","0","","","",""
"2024","Army","American Athletic","-11.852","0","121","0","0","97","0","","","",""
"2024","Illinois","Big Ten","0.209","0","62","0","0","15","0","","","",""
"2024","Air Force","Mountain West","-5.451","0","87","0","0","117","0","","","",""
"2024","Akron","Mid-American","-13.991","0","128","0","0","63","0","","","",""
"2024","Appalachian State","Sun Belt","-0.88","0","67","0","0","99","0","","","",""
"2024","Arkansas State","Sun Belt","-6.702","0","97","0","0","87","0","","","",""
"2024","Ball State","Mid-American","-12.62","0","123","0","0","105","0","","","",""
"2024","Buffalo","Mid-American","-10.768","0","118","0","0","101","0","","","",""
"2024","UCF","Big 12","6.239","0","32","0","0","65","0","","","",""
"2024","Central Michigan","Mid-American","-10.547","0","115","0","0","132","0","","","",""
"2024","Cincinnati","Big 12","-0.79","0","65","0","0","60","0","","","",""
"2024","Eastern Michigan","Mid-American","-13.404","0","126","0","0","127","0","","","",""
"2024","Florida Atlantic","American Athletic","-4.751","0","83","0","0","126","0","","","",""
"2024","Florida International","Conference USA","-16.468","0","132","0","0","133","0","","","",""
"2024","Georgia State","Sun Belt","-5.548","0","89","0","0","110","0","","","",""
"2024","Iowa","Big Ten","5.565","0","37","0","0","44","0","","","",""
"2024","Kansas","Big 12","11.192","0","17","0","0","77","0","","","",""
"2024","Kansas State","Big 12","9.968","0","22","0","0","70","0","","","",""
"2024","Kent State","Mid-American","-18.608","0","134","0","0","46","0","","","",""
"2024","Liberty","Conference USA","-2.983","0","79","0","0","134","0","","","",""
"2024","Louisiana Tech","Conference USA","-11.875","0","122","0","0","114","0","","","",""
"2024","Miami","ACC","9.614","0","23","0","0","53","0","","","",""
"2024","Middle Tennessee","Conference USA","-8.953","0","107","0","0","102","0","","","",""
"2024","Navy","American Athletic","-12.862","0","124","0","0","90","0","","","",""
"2024","Charlotte","American Athletic","-10.558","0","116","0","0","109","0","","","",""
"2024","Louisiana Monroe","Sun Belt","-14.083","0","129","0","0","50","0","","","",""
"2024","UNLV","Mountain West","-5.41","0","86","0","0","91","0","","","",""
"2024","Nevada","Mountain West","-11.173","0","120","0","0","94","0","","","",""
"2024","Northern Illinois","Mid-American","-9.932","0","114","0","0","81","0","","","",""
"2024","Oregon","Big Ten","24.492","0","2","0","0","30","0","","","",""
"2024","Purdue","Big Ten","0.478","0","60","0","0","11","0","","","",""
"2024","Sam Houston State","Conference USA","-14.251","0","130","0","0","121","0","","","",""
"2024","SMU","ACC","8.954","0","25","0","0","73","0","","","",""
"2024","Southern Mississippi","Sun Belt","-8.013","0","104","0","0","108","0","","","",""
"2024","South Carolina","SEC","6.22","0","33","0","0","17","0","","","",""
"2024","TCU","Big 12","7.096","0","30","0","0","47","0","","","",""
"2024","Tennessee","SEC","16.605","0","9","0","0","8","0","","","",""
"2024","UT San Antonio","American Athletic","1.555","0","56","0","0","71","0","","","",""
"2024","UTEP","Conference USA","-9.832","0","111","0","0","89","0","","","",""
"2024","Texas Tech","Big 12","7.13","0","29","0","0","69","0","","","",""
"2024","Toledo","Mid-American","-6.992","0","100","0","0","131","0","","","",""
"2024","Troy","Sun Belt","-2.015","0","75","0","0","112","0","","","",""
"2024","Tulane","American Athletic","-1.105","0","69","0","0","83","0","","","",""
"2024","Western Michigan","Mid-American","-10.831","0","119","0","0","76","0","","","",""
"2024","Wyoming","Mountain West","-6.992","0","99","0","0","113","0","","","",""
