"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2010","Navy","FBS Independents","2.73","46","61","49","80","","64","55.244","69.971","43.649","29.946"
"2010","Michigan State","Big Ten","8.1","12","39","33","54","","33","64.145","67.332","55.209","52.681"
"2010","Illinois","Big Ten","9.461","56","35","29","53","","25","65.818","58.856","69.451","44.679"
"2010","Wisconsin","Big Ten","18.225","13","11","7","72","","13","80.449","84.042","63.041","56"
"2010","Iowa","Big Ten","13.124","35","21","22","46","","21","72.914","66.233","69.647","55.724"
"2010","Michigan","Big Ten","3.57","44","58","75","31","","59","50.029","77.547","29.983","23.829"
"2010","Ohio State","Big Ten","24.977","6","4","4","59","","8","88.92","79.998","86.987","54.831"
"2010","Minnesota","Big Ten","-3.602","87","77","106","32","","95","30.848","52.498","22.156","31.299"
"2010","Purdue","Big Ten","-5.459","84","82","79","58","","71","36.792","23.453","52.161","60.238"
"2010","Indiana","Big Ten","-6.272","75","86","84","73","","82","36.331","55.258","26.865","33.221"
"2010","Northwestern","Big Ten","-1.991","64","71","58","70","","58","46.553","51.361","40.224","58.65"
"2010","USC","Pac-10","11.73","25","25","31","8","","19","70.125","69.292","57.188","68.835"
"2010","UCLA","Pac-10","1.481","66","63","94","3","","60","47.069","35.161","54.641","65.233"
"2010","Washington","Pac-10","4.646","27","52","87","2","","52","54.011","55.637","50.566","50.89"
"2010","Arizona State","Pac-10","10.304","36","34","53","16","","27","67.16","60.133","67.833","51.033"
"2010","Stanford","Pac-10","24.226","2","6","3","17","","1","91.356","91.908","76.351","54.434"
"2010","California","Pac-10","9.195","58","36","59","12","","41","61.144","42.046","75.012","46.346"
"2010","Arizona","Pac-10","10.753","39","29","54","19","","42","65.793","68.947","61.449","32.829"
"2010","Oregon State","Pac-10","8.705","40","37","70","1","","29","63.296","64.286","51.958","69.889"
"2010","Oregon","Pac-10","28.232","3","1","11","24","","9","87.203","81.209","83.18","48.185"
"2010","Washington State","Pac-10","-7.727","86","93","114","4","","92","33.166","39.657","31.652","55.152"
"2010","Syracuse","Big East","0.406","51","68","63","69","","70","51.103","40.263","59.491","54.393"
"2010","Pittsburgh","Big East","10.56","38","30","43","36","","40","66.186","63.934","61.504","53.183"
"2010","Rutgers","Big East","-3.131","88","76","96","67","","90","33.886","24.142","47.269","59.18"
"2010","West Virginia","Big East","12.459","31","22","21","63","","26","69.096","49.046","84.067","38.079"
"2010","Penn State","Big Ten","6.882","50","40","60","45","","49","54.318","46.358","54.947","66.664"
