"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2007","Navy","FBS Independents","-2.59","67","74","55","95","","76","41.02","80.182","10.784","53.457"
"2007","Michigan State","Big Ten","7.183","56","44","43","47","","41","60.621","61.86","55.315","50.172"
"2007","Illinois","Big Ten","9.088","22","35","17","39","","16","67.708","63.865","63.878","53.698"
"2007","Wisconsin","Big Ten","10.155","26","28","42","56","","44","63.448","68.53","48.104","60.966"
"2007","Iowa","Big Ten","0.795","73","64","79","70","","81","46.374","32.851","60.92","47.572"
"2007","Michigan","Big Ten","11.415","20","24","44","32","","34","65.512","52.162","73.292","50.203"
"2007","Ohio State","Big Ten","19.137","6","8","5","46","","4","82.298","67.15","82.468","66.197"
"2007","Minnesota","Big Ten","-6.155","112","82","115","58","","101","29.243","48.691","19.632","53.005"
"2007","Purdue","Big Ten","7.444","50","43","32","72","","49","56.705","54.029","59.098","43.354"
"2007","Indiana","Big Ten","0.024","62","66","47","66","","56","48.509","50.803","42.468","64.428"
"2007","Northwestern","Big Ten","-4.046","68","77","80","69","","78","37.226","52.585","27.463","46.793"
"2007","USC","Pac-10","22.908","4","2","4","19","","2","83.916","71.099","83.541","61.748"
"2007","UCLA","Pac-10","10.528","41","27","69","2","","39","62.785","30.691","80.674","62.911"
"2007","Washington","Pac-10","5.352","64","49","53","1","","28","55.949","62.596","47.643","48.965"
"2007","Arizona State","Pac-10","13.813","9","16","48","12","","37","71.323","60.908","73.705","52.722"
"2007","Stanford","Pac-10","-1.526","71","71","97","8","","69","46.629","42.832","50.119","54.307"
"2007","California","Pac-10","12.125","36","21","46","9","","29","67.39","71.71","60.041","40.806"
"2007","Arizona","Pac-10","9.145","51","34","68","4","","38","59.13","52.194","59.504","58.586"
"2007","Oregon State","Pac-10","9.919","12","31","19","5","","8","71.115","46.562","87.381","36.888"
"2007","Oregon","Pac-10","19.833","17","7","16","3","","10","77.651","77.536","68.348","51.303"
"2007","Washington State","Pac-10","2.444","54","58","93","6","","60","52.189","63.059","45.165","34.724"
"2007","Syracuse","Big East","-11.599","96","100","116","28","","99","26.343","29.379","30.598","51.775"
"2007","Pittsburgh","Big East","1.324","69","63","81","44","","68","49.057","29.662","66.127","58.015"
"2007","Rutgers","Big East","8.961","49","36","18","68","","32","61.481","60.877","61.39","40.125"
"2007","West Virginia","Big East","21.026","7","4","3","45","","3","84.234","78.499","77.565","59.743"
"2007","Penn State","Big Ten","14.174","28","14","20","57","","22","70.122","58.875","72.369","55.259"
