"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2023","Notre Dame","FBS Independents","20.776","17","10","14","48","","11","83.947","78.304","77.941","57.082"
"2023","Georgia","SEC","24.777","7","6","5","37","","6","87.417","88.149","74.455","48.128"
"2023","Florida","SEC","6.342","49","38","73","4","","35","58.854","67.064","43.082","57.213"
"2023","Tennessee","SEC","14.091","23","17","30","16","","19","72.034","66.494","68.45","54.522"
"2023","South Carolina","SEC","6.054","56","42","81","14","","51","55.105","53.866","54.724","48.937"
"2023","Kentucky","SEC","7.33","35","34","52","24","","38","63.962","60.477","61.626","52.112"
"2023","Vanderbilt","SEC","-9.102","110","103","133","42","","104","27.425","23.613","36.78","56.766"
"2023","Oklahoma State","Big 12","6.132","20","40","84","26","","55","58.317","55.031","57.772","52.598"
"2023","Kansas State","Big 12","18.789","26","12","24","39","","17","79.849","77.7","71.656","49.809"
"2023","Baylor","Big 12","-4.924","101","84","125","44","","100","30.445","31.671","31.437","67.489"
"2023","Iowa State","Big 12","8.877","34","31","59","27","","34","69.507","61.932","67.525","57.506"
"2023","Texas Tech","Big 12","6.237","45","39","67","23","","36","62.556","51.102","66.311","59.243"
"2023","Kansas","Big 12","9.088","28","29","29","36","","21","72.867","82.476","54.769","44.984"
"2023","TCU","Big 12","9.511","62","28","72","17","","45","59.244","64.411","51.426","45.245"
"2023","West Virginia","Big 12","5.931","29","44","48","19","","32","65.187","69.634","53.567","52.242"
"2023","UMass","FBS Independents","-17.844","121","127","129","63","","122","17.585","28.703","20.969","33.697"
"2023","Auburn","SEC","8.916","43","30","46","12","","26","67.536","49.076","72.965","65.063"
"2023","LSU","SEC","20.874","13","9","21","10","","12","81.345","97.503","37.119","37.895"
"2023","Miami (OH)","Mid-American","-1.253","32","71","26","114","","58","60.548","38.799","64.079","78.975"
