"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2017","New Mexico State","Sun Belt","-11.136","93","100","87","114","","107","34.977","36.671","40.778","43.737"
"2017","Idaho","Sun Belt","-14.982","118","111","91","118","","110","28.33","20.749","45.868","47.282"
"2017","Notre Dame","FBS Independents","18.9","10","50","13","2","","8","82.743","77.083","79.899","45.53"
"2017","Georgia","SEC","25.072","2","3","6","4","","3","91.567","85.854","87.158","55.805"
"2017","Florida","SEC","3.585","65","50","102","19","","70","44.473","33.128","59.132","46.924"
"2017","Tennessee","SEC","-2.598","82","73","95","47","","72","38.939","34.786","47.074","49.049"
"2017","South Carolina","SEC","7.426","21","34","69","42","","48","61.591","52.104","66.272","47.322"
"2017","Kentucky","SEC","1.361","51","58","67","57","","54","52.026","54.962","43.468","64.345"
"2017","Vanderbilt","SEC","-3.325","67","76","99","54","","80","40.912","54.292","36.995","33.926"
"2017","Oklahoma State","Big 12","16.993","15","11","16","35","","12","80.184","89.176","61.723","31.49"
"2017","Kansas State","Big 12","8.931","34","29","46","55","","36","67.259","57.39","60.372","77.761"
"2017","Baylor","Big 12","-4.257","113","81","122","22","","94","33.588","36.851","33.08","58.65"
"2017","Iowa State","Big 12","10.034","27","26","45","14","","21","72.821","66.859","70.427","51.721"
"2017","Texas Tech","Big 12","5.6","53","42","49","25","","31","62.256","66.908","55.947","40.231"
"2017","Kansas","Big 12","-16.583","116","119","129","27","","115","16.028","19.504","27.027","33.386"
"2017","TCU","Big 12","16.849","9","12","22","30","","13","80.015","66.179","77.477","72.516"
"2017","West Virginia","Big 12","4.747","41","46","75","38","","50","58.871","66.581","52.366","37.711"
"2017","UMass","FBS Independents","-9.269","111","99","88","102","","99","34.257","37.154","44.089","30.21"
"2017","UTEP","Conference USA","-27.151","130","130","130","88","","122","9.119","7.327","23.734","42.591"
