"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2008","Navy","FBS Independents","0.087","51","66","37","71","","49","52.571","66.459","34.693","61.674"
"2008","Michigan State","Big Ten","7.936","17","34","42","18","","29","61.459","48.076","67.616","58.82"
"2008","Illinois","Big Ten","6.08","64","40","72","36","","54","54.467","54.166","59.195","33.02"
"2008","Wisconsin","Big Ten","5.801","45","43","60","49","","48","53.271","50.888","56.018","46.258"
"2008","Iowa","Big Ten","15.249","28","13","15","58","","19","74.365","61.457","75.141","60.34"
"2008","Michigan","Big Ten","-0.493","90","69","92","21","","64","39.716","33.172","52.982","41.42"
"2008","Ohio State","Big Ten","20.778","9","6","13","24","","8","79.632","65.823","74.444","78.737"
"2008","Minnesota","Big Ten","-0.675","55","70","56","61","","55","46.927","40.534","55.129","47.233"
"2008","Purdue","Big Ten","3.421","76","53","84","27","","59","46.67","45.022","53.465","39.016"
"2008","Indiana","Big Ten","-10.354","100","102","99","54","","94","28.523","32.895","32.409","46.562"
"2008","Northwestern","Big Ten","5.648","29","45","41","60","","44","60.635","50.666","66.192","51.008"
"2008","USC","Pac-10","30.774","3","2","4","7","","3","93.078","89.379","86.598","55.784"
"2008","UCLA","Pac-10","-2.773","70","74","105","10","","77","42.212","25.41","62.241","56.393"
"2008","Washington","Pac-10","-10.756","120","103","118","1","","105","18.886","30.366","22.815","30.632"
"2008","Arizona State","Pac-10","5.781","63","44","70","35","","50","51.9","35.111","66.045","50.624"
"2008","Stanford","Pac-10","5.985","48","41","88","3","","45","57.351","65.879","43.293","59.786"
"2008","California","Pac-10","14.58","20","18","19","37","","16","73.646","52.544","80.137","59.092"
"2008","Arizona","Pac-10","14.782","35","17","24","57","","21","72.472","69.275","64.013","62.464"
"2008","Oregon State","Pac-10","13.756","14","21","35","4","","18","70.738","66.015","69.97","46.921"
"2008","Oregon","Pac-10","17.737","10","8","21","20","","15","76.263","78.883","65.14","47.648"
"2008","Washington State","Pac-10","-19.432","103","118","119","8","","114","10.77","14.829","20.619","31.997"
"2008","Syracuse","Big East","-9.183","87","99","104","12","","71","31.316","38.667","30.065","53.59"
"2008","Pittsburgh","Big East","8.707","24","31","48","25","","39","62.508","49.565","64.702","67.509"
"2008","Rutgers","Big East","8.406","43","33","31","65","","36","63.536","61.767","61.106","48.645"
"2008","West Virginia","Big East","11.347","32","24","44","55","","46","63.294","62.936","59.021","49.327"
"2008","Penn State","Big Ten","25.466","8","5","8","40","","6","88.53","87.703","73.457","67.124"
"2008","Nebraska","Big 12","8.504","21","32","40","51","","35","63.105","64.48","49.021","68.517"
"2008","Colorado","Big 12","-1.106","58","71","103","14","","72","39.396","30.668","60.204","27.732"
"2008","Kansas State","Big 12","0.934","72","63","75","59","","62","43.983","55.34","30.639","73.408"
"2008","Missouri","Big 12","17.585","18","10","17","32","","14","77.012","80.341","59.247","66.08"
"2008","Kansas","Big 12","11.198","27","25","38","38","","27","66.599","73.476","51.569","54.071"
"2008","Iowa State","Big 12","-5.444","105","84","107","46","","96","32.502","41.051","31.084","48.836"
"2008","Texas","Big 12","26.438","1","4","5","17","","4","90.466","89.013","77.61","59.967"
"2008","Texas Tech","Big 12","18.865","7","7","10","34","","10","78.686","84.852","57.458","51.589"
"2008","Texas A&M","Big 12","-3.959","79","81","100","29","","79","32.088","44.374","29.367","45.108"
"2008","Oklahoma","Big 12","29.737","4","3","2","2","","1","93.802","95.291","79.169","41.063"
"2008","Oklahoma State","Big 12","14.931","15","15","14","43","","11","79.288","82.71","58.104","70.916"
"2008","Baylor","Big 12","1.948","71","57","69","16","","41","54.944","70.496","43.243","30.575"
"2008","Utah","Mountain West","15.959","5","12","9","74","","12","78.112","66.436","72.255","76.726"
"2008","BYU","Mountain West","9.809","26","27","22","85","","33","64.214","75.209","42.15","58.858"
"2008","Colorado State","Mountain West","-6.371","61","87","82","70","","85","38.966","57.17","29.561","37.012"
"2008","Wyoming","Mountain West","-11.493","97","107","106","72","","103","24.602","17.146","53.566","20.681"
"2008","San Diego State","Mountain West","-15.541","112","114","110","75","","106","21.551","26.353","26.25","49.266"
"2008","New Mexico","Mountain West","-2.381","91","73","97","64","","84","41.423","23.43","65.161","49.907"
"2008","Air Force","Mountain West","-0.147","56","67","49","82","","63","52.345","40.992","62.735","50.449"
"2008","UNLV","Mountain West","-7.212","83","90","89","78","","89","38.343","60.583","22.788","50.145"
"2008","Middle Tennessee","Sun Belt","-7.95","101","96","94","118","","107","32.659","32.414","37.341","56.46"
"2008","North Texas","Sun Belt","-26.197","119","120","120","86","","118","8.29","27.076","8.351","20.204"
"2008","Connecticut","Big East","7.184","42","37","57","56","","56","59.323","41.682","77.711","39.265"
"2008","Maryland","ACC","2.822","37","54","59","44","","53","50.437","50.24","44.451","68.414"
"2008","Louisville","Big East","-3.781","80","78","71","66","","74","36.792","37.466","42.45","46.543"
"2008","South Florida","Big East","9.935","46","26","33","67","","42","61.031","64.563","53.696","47.585"
"2008","Cincinnati","Big East","6.258","16","39","25","63","","24","64.366","50.969","69.546","55.41"
"2008","UCF","Conference USA","-8.102","99","97","76","79","","78","36.13","11.793","66.298","58.597"
"2008","Memphis","Conference USA","-5.817","93","85","61","109","","90","37.088","52.27","32.438","28.734"
"2008","Southern Mississippi","Conference USA","1.335","75","60","68","92","","91","48.592","59.468","40.255","42.131"
"2008","East Carolina","Conference USA","1.177","47","61","54","76","","66","53.694","37.166","68.352","49.49"
"2008","UAB","Conference USA","-10.905","102","105","91","83","","97","33.624","45.001","24.642","62.107"
"2008","Tulsa","Conference USA","8.902","41","30","16","119","","52","62.758","80.797","35.463","40.659"
"2008","Houston","Conference USA","2.607","62","55","78","96","","98","49.439","63.358","40.101","34.565"
"2008","SMU","Conference USA","-17.545","116","115","113","69","","111","19.85","27.964","19.399","63.589"
"2008","Tulane","Conference USA","-17.784","114","116","111","81","","110","18.444","26.766","28.341","21.271"
"2008","TCU","Mountain West","17.278","12","11","7","77","","9","81.068","60.426","90.245","51.422"
"2008","Idaho","Western Athletic","-25.072","118","119","116","107","","118","8.321","20.851","8.855","44.837"
"2008","Western Kentucky","FBS Independents","-13.923","117","110","114","88","","116","17.559","17.187","28.005","49.712"
"2008","Temple","Mid-American","-3.886","96","79","50","98","","73","43.555","26.344","55.068","70.511"
"2008","Louisiana Tech","Western Athletic","-7.652","69","95","45","117","","75","39.436","29.972","44.758","73.102"
"2008","Boise State","Western Athletic","14.869","11","16","3","115","","7","81.648","66.414","77.594","79.835"
"2008","Notre Dame","FBS Independents","5.123","52","50","34","53","","30","56.287","49.539","59.744","52.798"
"2008","Nevada","Western Athletic","0.193","73","65","51","91","","70","48.903","63.513","42.331","25.81"
"2008","New Mexico State","Western Athletic","-18.703","113","117","108","113","","117","19.057","24.566","26.227","38.801"
"2008","Utah State","Western Athletic","-12.334","107","108","115","73","","113","22.114","25.34","29.897","42.772"
"2008","Georgia","SEC","15.214","13","14","26","11","","17","71.105","79.464","55.578","43.645"
"2008","Florida","SEC","33.373","2","1","1","9","","2","95.412","91.449","86.351","78.303"
"2008","Tennessee","SEC","5.957","67","42","77","45","","57","50.938","26.904","75.811","37.732"
"2008","South Carolina","SEC","7.21","38","36","53","13","","37","56.288","37.946","71.852","52.15"
"2008","Kentucky","SEC","1.639","54","58","81","62","","76","46.837","29.974","58.517","67.846"
"2008","Vanderbilt","SEC","3.646","40","52","86","23","","61","53.557","34.18","64.748","64.57"
"2008","San José State","Western Athletic","-9.836","85","101","66","108","","92","35.297","12.886","71.368","42.102"
"2008","Hawai'i","Western Athletic","-7.298","81","91","47","90","","67","39.052","38.354","44.576","47.457"
"2008","Fresno State","Western Athletic","-3.901","77","80","65","99","","86","42.947","57.892","31.883","49.171"
"2008","UTEP","Conference USA","-6.376","86","88","79","80","","80","39.605","56.156","24.233","63.924"
"2008","Rice","Conference USA","0.575","30","64","20","93","","34","61.015","81.367","31.441","43.363"
"2008","Auburn","SEC","4.746","65","49","36","31","","28","51.165","28.529","70.91","60.086"
"2008","LSU","SEC","11.706","33","22","43","41","","38","63.858","55.406","56.694","77.712"
"2008","Miami (OH)","Mid-American","-14.863","115","113","117","94","","118","20.695","27.655","19.787","61.069"
"2008","Ohio","Mid-American","-8.99","104","98","74","101","","95","36.096","36.292","40.713","50.674"
"2008","Kent State","Mid-American","-10.869","106","104","98","110","","108","26.841","42.091","29.587","19.86"
