"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2014","Navy","FBS Independents","0.593","68","69","41","81","","65","48.095","61.471","37.89","43.343"
"2014","UAB","Conference USA","-6.056","80","90","72","90","","80","38.454","33.38","42.666","66.77"
"2014","UMass","Mid-American","-14.742","120","118","82","118","","105","26.589","38.643","25.334","45.218"
"2014","UCF","American Athletic","4.669","50","55","32","87","","56","54.457","43.841","66.929","38.18"
"2014","Cincinnati","American Athletic","6.282","43","50","35","71","","49","58.779","67.073","44.279","57.934"
"2014","Houston","American Athletic","4.94","71","54","64","100","","86","45.119","42.495","50.432","48.06"
"2014","SMU","American Athletic","-20.52","118","125","128","60","","117","10.246","10.186","22.247","44.29"
"2014","Connecticut","American Athletic","-14.844","122","119","123","84","","117","20.57","10.389","42.083","51.431"
"2014","South Florida","American Athletic","-10.132","101","102","114","70","","111","25.087","23.08","35.641","50.531"
"2014","Memphis","American Athletic","7.906","29","40","14","82","","31","65.03","45.689","68.665","76.368"
"2014","Temple","American Athletic","-1.377","78","76","67","80","","81","47.076","18.748","70.388","61.873"
"2014","East Carolina","American Athletic","3.828","62","59","52","76","","64","56.627","64.06","49.395","36.18"
"2014","Tulane","American Athletic","-9.698","103","100","103","65","","90","31.328","23.636","57.524","23.665"
"2014","Tulsa","American Athletic","-12.969","117","115","122","69","","116","22.871","37.717","15.153","60.895"
"2014","New Mexico State","Sun Belt","-21.765","126","126","124","124","","117","13.101","22.127","21.023","23.138"
"2014","Idaho","Sun Belt","-19.271","128","123","126","121","","117","15.089","27.189","11.36","62.968"
"2014","Notre Dame","FBS Independents","12.55","33","50","45","29","","32","64.14","72.391","50.306","46.193"
"2014","Georgia","SEC","24.267","11","5","6","20","","6","86.277","87.832","69.989","61.443"
"2014","Florida","SEC","15.671","31","22","43","33","","23","70.146","35.309","85.654","60.04"
"2014","Tennessee","SEC","12.329","37","31","49","18","","24","67.444","56.134","67.129","66.142"
"2014","South Carolina","SEC","11.433","41","33","50","28","","33","62.34","75.525","37.52","62.554"
