"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2011","Navy","FBS Independents","-0.277","87","71","74","76","","69","48.719","68.967","29.935","45.283"
"2011","Syracuse","Big East","-3.292","76","80","85","57","","89","37.517","41.97","41.602","38.274"
"2011","Pittsburgh","Big East","2.882","72","55","25","55","","29","51.404","40.365","58.431","61.042"
"2011","Rutgers","Big East","4.014","39","52","55","75","","70","53.529","30.487","73.128","64.483"
"2011","West Virginia","Big East","10.272","22","27","38","63","","48","61.693","68.665","57.849","28.451"
"2011","Colorado State","Mountain West","-14.61","111","111","107","103","","114","22.589","21.39","32.826","52.283"
"2011","Wyoming","Mountain West","-6.259","57","88","75","86","","84","37.958","42.302","40.149","43.807"
"2011","San Diego State","Mountain West","-0.253","58","70","79","91","","93","42.925","51.055","40.743","39.832"
"2011","New Mexico","Mountain West","-25.431","115","119","119","68","","115","8.385","17.703","13.063","31.342"
"2011","Air Force","Mountain West","1.798","73","61","44","93","","62","48.349","60.912","38.577","41.788"
"2011","UNLV","Mountain West","-19.939","108","114","115","67","","109","16.071","15.985","24.493","57.022"
"2011","Middle Tennessee","Sun Belt","-20.323","117","116","114","115","","115","16.026","22.194","24.133","33.675"
"2011","North Texas","Sun Belt","-12.001","94","104","89","94","","102","27.95","25.443","34.98","61.223"
"2011","Connecticut","Big East","-2.343","85","77","77","69","","80","42.495","21.512","63.116","62.918"
"2011","Maryland","ACC","-4.642","102","82","105","31","","94","31.803","37.044","36.644","38.98"
"2011","Louisville","Big East","0.467","64","65","59","64","","56","49.723","41.649","50.712","69.963"
"2011","South Florida","Big East","5.737","79","44","18","65","","23","58.959","53.905","63.287","42.584"
"2011","Cincinnati","Big East","9.264","28","32","32","70","","42","67.936","55.57","70.614","57.125"
"2011","UCF","Conference USA","2.186","96","59","42","99","","65","51.277","53.211","54.81","33.139"
"2011","Memphis","Conference USA","-24.647","116","118","98","111","","112","13.182","13.426","22.226","53.486"
"2011","Southern Mississippi","Conference USA","9.032","20","33","9","95","","17","67.826","54.135","72.536","56.68"
"2011","East Carolina","Conference USA","-7.521","86","94","82","74","","88","35.109","37.023","40.399","45.335"
"2011","UAB","Conference USA","-14.5","106","110","110","79","","110","25.497","36.17","22.71","56.228"
"2011","Tulsa","Conference USA","7.151","35","38","34","60","","32","59.623","53.882","60.325","53.064"
"2011","Houston","Conference USA","14.74","15","17","11","109","","28","72.825","86.329","48.135","39.957"
"2011","SMU","Conference USA","1.34","41","63","37","71","","40","57.116","49.058","60.932","52.23"
"2011","Tulane","Conference USA","-20.31","118","115","116","104","","115","14.001","19.353","25.765","24.447"
"2011","TCU","Mountain West","14.251","17","19","16","84","","19","74.799","74.193","63.273","61.241"
"2011","Idaho","Western Athletic","-14.996","113","112","117","90","","115","22.326","15.365","39.288","51.928"
"2011","Temple","Mid-American","4.364","66","49","6","118","","33","65.07","60.165","55.461","75.527"
"2011","Western Kentucky","Sun Belt","-8.316","80","97","71","116","","103","34.778","35.207","37.936","56.493"
"2011","Missouri","Big 12","15.264","26","16","65","22","","36","70.048","68.162","64.373","51.43"
"2011","Texas A&M","Big 12","17.533","33","11","12","13","","8","75.026","73.595","66.416","55.496"
"2011","Wisconsin","Big Ten","22.985","16","7","10","50","","11","86.155","93.927","56.142","50.347"
"2011","Penn State","Big Ten","7.333","19","36","62","38","","47","60.682","35.871","78.348","50.818"
"2011","Purdue","Big Ten","-0.016","56","68","70","59","","63","45.53","41.771","45.347","66.466"
"2011","Ohio State","Big Ten","10.201","51","28","69","27","","49","59.704","49.272","66.234","49.739"
"2011","Illinois","Big Ten","5.652","55","45","67","48","","59","51.897","30.736","79.025","29.56"
"2011","Indiana","Big Ten","-12.669","114","105","113","54","","108","20.234","38.976","17.071","36.039"
"2011","Michigan State","Big Ten","14.176","10","20","20","34","","12","76.057","57.163","80.006","63.17"
"2011","Michigan","Big Ten","17.609","14","10","17","41","","16","77.552","72.369","73.236","50.27"
"2011","Nebraska","Big Ten","11.017","24","25","31","35","","22","66.871","63.989","58.331","65.925"
"2011","Iowa","Big Ten","5.217","52","46","52","49","","51","57.786","60.507","53.069","47.537"
"2011","Northwestern","Big Ten","1.956","69","60","49","51","","46","55.11","71.393","35.311","46.584"
"2011","Minnesota","Big Ten","-7.084","90","89","112","25","","97","29.868","37.843","27.673","57.752"
"2011","Boise State","Mountain West","21.896","9","8","1","73","","5","88.189","82.447","77.487","73.793"
"2011","Louisiana Tech","Western Athletic","2.505","49","57","39","77","","50","59.27","38.146","73.407","56.831"
"2011","Notre Dame","FBS Independents","15.723","30","50","27","15","","15","69.455","64.125","69.955","41.738"
"2011","Nevada","Western Athletic","3.461","71","53","30","89","","43","52.677","58.381","50.567","34.33"
"2011","New Mexico State","Western Athletic","-15.322","104","113","91","92","","107","24.218","39.121","24.43","32.651"
"2011","Utah State","Western Athletic","-2.328","82","76","48","107","","75","42.991","60.278","38.269","25.275"
"2011","Georgia","SEC","15.356","18","14","13","28","","10","73.379","61.315","81.487","38.182"
"2011","Florida","SEC","10.737","34","26","40","30","","24","63.474","44.227","66.845","75.684"
"2011","Tennessee","SEC","6.129","53","42","73","18","","45","54.882","49.752","63.209","34.744"
"2011","South Carolina","SEC","14.591","11","18","28","32","","21","70.438","60.158","77.627","32.75"
"2011","Kentucky","SEC","-3.19","70","78","94","44","","87","36.544","20.38","59.746","48.028"
"2011","Vanderbilt","SEC","6.637","59","40","45","36","","34","60.248","46.247","71.016","45.071"
"2011","Oklahoma State","Big 12","26.999","2","3","3","4","","2","90.251","88.064","78.446","67.46"
