"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2016","New Mexico State","Sun Belt","-17.564","118","123","123","92","","123","20.224","29.101","26.64","29.733"
"2016","Idaho","Sun Belt","-7.715","55","96","57","103","","77","40.832","42.712","33.989","74.19"
"2016","Notre Dame","FBS Independents","9.712","80","50","49","34","","38","57.705","58.944","57.521","38.124"
"2016","Georgia","SEC","8.064","34","41","54","36","","41","57.41","46.323","71.912","34.978"
"2016","Florida","SEC","13.83","17","22","40","27","","18","72.395","39.062","87.18","64.667"
"2016","Tennessee","SEC","15.461","24","17","60","43","","45","65.249","71.377","51.5","57.843"
"2016","South Carolina","SEC","-0.306","62","72","92","50","","73","44.163","33.363","57.086","48.37"
"2016","Kentucky","SEC","2.312","45","62","69","54","","55","49.713","56.411","42.578","52.624"
"2016","Vanderbilt","SEC","4.536","58","55","94","24","","67","53.245","46.072","62.218","40.657"
"2016","Oklahoma State","Big 12","17.126","14","15","20","41","","16","71.435","74.768","56.551","61.445"
"2016","Kansas State","Big 12","12.072","18","27","17","32","","10","77.476","72.079","68.545","67.786"
"2016","Baylor","Big 12","8.9","51","39","67","57","","57","58.763","55.21","59.992","45.822"
"2016","Iowa State","Big 12","1.143","89","66","91","23","","66","47.821","55.165","36.106","68.894"
"2016","Texas Tech","Big 12","4.703","64","53","76","28","","58","55.586","79.157","25.208","44.986"
"2016","Kansas","Big 12","-9.826","98","104","124","17","","92","25.225","15.671","51.288","37.2"
"2016","TCU","Big 12","9.567","61","34","63","39","","49","58.497","53.07","59.052","55.251"
"2016","West Virginia","Big 12","13.47","13","24","36","22","","28","66.812","64.846","67.911","32.136"
"2016","UMass","FBS Independents","-15.513","123","118","115","74","","108","23.702","31.967","28.701","35.567"
"2016","UTEP","Conference USA","-17.574","122","124","102","128","","123","17.974","31.25","17.445","45.499"
"2016","Rice","Conference USA","-16.142","120","121","121","91","","118","18.241","27.294","18.965","49.141"
"2016","Oregon","Pac-12","3.563","72","61","105","14","","70","50.126","73.878","30.546","39.943"
"2016","Stanford","Pac-12","14.263","10","18","34","5","","19","76.127","54.414","77.177","79.488"
"2016","Washington","Pac-12","25.212","5","5","2","52","","3","89.335","81.619","85.356","56.638"
"2016","California","Pac-12","4.39","60","58","88","8","","60","48.239","69.08","26.297","51.786"
"2016","Oregon State","Pac-12","-0.041","75","71","90","15","","61","45.262","40.281","52.838","45.922"
"2016","Connecticut","American Athletic","-12.154","114","112","126","79","","123","21.164","21.238","31.047","48.405"
"2016","Washington State","Pac-12","14.138","38","20","41","49","","33","65.79","67.865","55.718","53.073"
"2016","USC","Pac-12","20.051","8","10","14","7","","6","80.594","78.087","68.479","64.166"
"2016","BYU","FBS Independents","9.8","40","31","46","68","","51","64.469","48.302","68.188","72.569"
"2016","Auburn","SEC","19.319","23","11","27","16","","13","74.622","63.206","73.263","62.386"
"2016","LSU","SEC","22.875","16","6","8","3","","4","82.902","73.199","86.67","32.407"
"2016","Miami (OH)","Mid-American","-8.221","97","97","70","115","","97","34.46","32.869","44.548","40.883"
"2016","Ohio","Mid-American","-5.252","82","87","43","111","","72","43.086","31.759","53.683","61.56"
