"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2012","Navy","FBS Independents","-5.027","64","88","85","88","","91","35.69","44.283","32.2","54.218"
"2012","Syracuse","Big East","7.017","48","45","77","43","","65","59.933","63.778","55.079","38.699"
"2012","Pittsburgh","Big East","5.436","76","53","60","61","","59","58.784","50.84","60.205","59.295"
"2012","Rutgers","Big East","5.112","47","57","39","70","","52","59.044","32.459","78.332","50.607"
"2012","Colorado State","Mountain West","-13.694","102","111","117","87","","116","20.148","15.866","34.227","49.821"
"2012","Wyoming","Mountain West","-9.917","104","100","81","102","","93","28.86","47.709","23.533","38.857"
"2012","San Diego State","Mountain West","2.195","58","61","31","95","","57","54.086","56.318","51.127","47.242"
"2012","New Mexico","Mountain West","-12.504","114","108","89","114","","105","28.922","42.774","23.486","51.629"
"2012","Air Force","Mountain West","-10.096","94","101","78","118","","97","31.924","44.406","30.143","37.739"
"2012","UNLV","Mountain West","-14.456","119","114","105","103","","114","22.634","28.894","26.109","49.44"
"2012","Middle Tennessee","Sun Belt","-8.188","62","97","67","109","","85","43.583","45.992","38.687","66.924"
"2012","North Texas","Sun Belt","-10.422","98","103","98","76","","101","27.839","30.193","37.801","35.933"
"2012","Connecticut","Big East","-1.997","83","74","63","68","","71","45.06","22.606","70.474","50.848"
"2012","Maryland","ACC","-3.181","86","81","101","54","","88","39.02","20.771","63.413","49.312"
"2012","Louisville","Big East","6.106","16","50","30","69","","43","62.045","72.13","50.735","32.997"
"2012","South Florida","Big East","-0.215","92","68","96","46","","81","40.893","42.311","44.927","43.56"
"2012","Cincinnati","Big East","8.906","39","36","11","79","","35","64.584","60.944","63.897","46.412"
"2012","UCF","Conference USA","9.225","52","34","14","86","","34","66.584","64.586","60.162","57.768"
"2012","Memphis","Conference USA","-13.171","107","109","90","117","","108","29.741","20.826","42.406","61.526"
"2012","Southern Mississippi","Conference USA","-15.531","124","115","119","72","","116","15.903","17.131","26.435","43.964"
"2012","East Carolina","Conference USA","-4.155","69","84","71","108","","87","40.497","44.555","39.192","52.563"
"2012","UAB","Conference USA","-13.858","111","112","115","84","","112","23.231","29.261","24.174","57.224"
"2012","Tulsa","Conference USA","5.45","32","52","38","82","","62","56.624","44.374","65.996","53.24"
"2012","Houston","Conference USA","-4.974","95","87","84","107","","98","31.409","32.65","41.203","35.81"
"2012","SMU","Conference USA","-0.858","68","69","55","71","","61","51.109","29.541","69.715","55.647"
"2012","Tulane","Conference USA","-18.127","116","120","118","85","","116","15.704","18.131","21.948","56.145"
"2012","Idaho","Western Athletic","-24.412","118","123","122","66","","116","11.25","9.893","23.284","54.186"
"2012","Western Kentucky","Sun Belt","-3.78","80","82","51","113","","75","43.949","44.747","46.893","45.435"
"2012","Wisconsin","Big Ten","14.022","46","21","26","36","","21","69.993","62.201","71.676","47.767"
"2012","Penn State","Big Ten","9.547","44","31","12","60","","22","64.602","52.33","72.143","48.283"
"2012","Purdue","Big Ten","1.069","67","64","74","53","","63","48.953","42.196","54.191","55.414"
"2012","Ohio State","Big Ten","15.753","3","17","9","58","","18","73.235","70.254","69.329","48.071"
"2012","Illinois","Big Ten","-8.648","105","98","110","45","","89","23.423","18.004","43.716","38.372"
"2012","Indiana","Big Ten","-4.132","90","83","86","62","","76","38.531","55.323","28.671","43.207"
"2012","Michigan State","Big Ten","9.302","50","33","66","32","","56","60.13","35.826","81.889","45.651"
"2012","Michigan","Big Ten","15.862","26","16","45","35","","29","69.431","70.283","60.703","52.568"
"2012","Nebraska","Big Ten","12.241","18","24","61","21","","42","68.237","67.997","66.048","38.907"
"2012","Iowa","Big Ten","1.058","84","65","93","47","","77","43.436","33.435","55.687","50.627"
"2012","Northwestern","Big Ten","8.028","19","41","10","48","","14","68.992","61.365","62.222","72.843"
"2012","Minnesota","Big Ten","-1.222","73","70","80","56","","73","45.735","38.482","58.616","36.754"
"2012","Boise State","Mountain West","8.711","24","37","6","104","","15","72.63","58.975","73.537","63.142"
"2012","Temple","Big East","-4.86","85","86","97","64","","94","34.548","40.704","28.768","68.117"
"2012","UMass","Mid-American","-25.552","120","124","121","77","","116","10.793","11.532","21.73","50.199"
"2012","Fresno State","Mountain West","5.75","54","51","27","99","","45","67.477","51.546","76.973","49.926"
"2012","Nevada","Mountain West","-1.281","82","72","53","111","","78","42.075","63.673","24.227","45.695"
"2012","Hawai'i","Mountain West","-17.67","112","119","113","75","","109","15.486","12.318","29.983","57.654"
"2012","Louisiana Tech","Western Athletic","6.496","43","49","24","106","","49","57.515","78.907","27.019","54.075"
"2012","Notre Dame","FBS Independents","20.776","2","50","19","15","","10","77.75","67.878","81.175","38"
"2012","New Mexico State","Western Athletic","-23.948","122","122","124","96","","116","7.938","14.337","14.523","31.625"
"2012","Utah State","Western Athletic","9.529","20","32","3","92","","5","75.904","65.722","74.755","55.639"
"2012","Georgia","SEC","22.741","10","4","8","33","","6","82.445","83.58","70.568","51.047"
"2012","Florida","SEC","18.958","4","12","40","12","","20","77.978","46.991","84.541","78.89"
"2012","Tennessee","SEC","8.91","63","35","65","34","","44","52.578","71.196","33.8","45.514"
"2012","South Carolina","SEC","19.152","9","11","16","25","","8","80.004","69.215","81.97","43.173"
"2012","Kentucky","SEC","-4.591","91","85","116","8","","80","32.364","37.924","32.496","53.962"
"2012","Vanderbilt","SEC","11.136","22","26","33","44","","25","69.344","52.899","71.534","68.835"
"2012","Oklahoma State","Big 12","20.57","30","8","22","22","","17","77.509","73.123","70.031","60.351"
"2012","Kansas State","Big 12","20.285","6","9","17","16","","7","83.399","78.219","72.052","73.955"
"2012","Baylor","Big 12","15.111","23","19","56","5","","30","69.743","86.129","44.401","31.934"
"2012","Iowa State","Big 12","5.234","53","55","62","6","","40","59.276","44.363","65.741","60.893"
"2012","Texas Tech","Big 12","10.31","28","30","48","37","","32","63.247","72.214","47.206","50.138"
"2012","Kansas","Big 12","-6.842","97","94","108","2","","68","37.804","39.995","46.308","31.55"
"2012","TCU","Big 12","11.137","33","25","42","14","","23","67.901","44.214","82.744","50.557"
"2012","West Virginia","Big 12","7.865","40","42","57","20","","37","63.899","80.583","41.739","38.815"
"2012","San José State","Western Athletic","5.123","21","56","25","89","","47","66.003","63.932","63.189","47.728"
"2012","UTEP","Conference USA","-9.433","103","99","99","67","","95","26.306","26.624","28.079","69.749"
"2012","Rice","Conference USA","-5.052","81","89","68","110","","92","40.153","41.013","36.622","66.851"
"2012","Oregon","Pac-12","25.023","5","2","1","42","","1","91.031","88.335","81.715","55.332"
"2012","Stanford","Pac-12","18.548","7","13","20","18","","12","76.83","58.13","82.542","53.573"
"2012","Washington","Pac-12","5.43","42","54","70","26","","51","57.548","39.107","73.422","46.831"
"2012","California","Pac-12","1.813","78","62","102","4","","72","46.797","39.543","54.271","51.628"
"2012","Oregon State","Pac-12","14.746","17","20","23","7","","13","75.285","65.856","73.9","57.367"
