"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2006","Navy","FBS Independents","3.25","44","54","16","86","","32","62.07","71.39","45.982","48.604"
"2006","Michigan State","Big Ten","2.997","78","56","80","36","","69","43.186","41.462","46.16","53.664"
"2006","Illinois","Big Ten","-2.949","102","72","96","41","","76","34.901","38.127","51.898","15.486"
"2006","Wisconsin","Big Ten","13.542","7","19","7","73","","11","75.407","56.637","79.725","66.892"
"2006","Iowa","Big Ten","9.572","60","36","55","38","","51","59.001","61.087","52.851","52.689"
"2006","Michigan","Big Ten","19.437","5","7","5","13","","2","80.983","69.57","80.466","58.988"
"2006","Ohio State","Big Ten","24.902","2","1","2","20","","1","89.565","83.263","82.081","67.883"
"2006","Minnesota","Big Ten","8.467","49","39","52","14","","36","61.815","75.448","40.927","58.262"
"2006","Purdue","Big Ten","1.963","46","60","67","53","","59","47.716","60.399","42.142","32.293"
"2006","Indiana","Big Ten","-3.406","64","75","100","30","","81","36.147","36.342","36.985","61.241"
"2006","Northwestern","Big Ten","-3.926","76","79","86","27","","64","41.568","37.142","50.597","46.316"
"2006","USC","Pac-10","24.391","3","2","10","1","","3","86.36","78.967","79.584","66.369"
"2006","UCLA","Pac-10","9.757","37","35","36","5","","22","63.147","47.26","71.762","53.321"
"2006","Washington","Pac-10","4.731","52","48","78","4","","52","54.848","47.633","59.75","50.775"
"2006","Arizona State","Pac-10","8.686","39","37","58","12","","38","59.825","57.692","57.43","52.661"
"2006","Stanford","Pac-10","-6.954","98","91","116","2","","96","30.901","26.306","46.593","32.446"
"2006","California","Pac-10","19.293","11","8","12","8","","7","81.949","80.896","67.173","69.74"
"2006","Arizona","Pac-10","6.351","35","45","81","3","","53","53.265","29.921","72.485","58.933"
"2006","Oregon State","Pac-10","9.861","17","33","35","10","","21","69.011","62.647","63.442","65.847"
"2006","Oregon","Pac-10","10.815","36","27","65","6","","44","61.118","70.207","50.357","36.172"
"2006","Washington State","Pac-10","7.734","40","42","61","11","","48","59.746","62.021","63.791","23.006"
"2006","Syracuse","Big East","-2.676","71","70","89","15","","66","43.817","34.839","48.121","69.747"
"2006","Pittsburgh","Big East","8.53","59","38","27","58","","33","61.373","65.923","49.638","60.772"
"2006","Rutgers","Big East","12.041","12","21","15","59","","12","80.089","64.607","82.533","56.936"
"2006","West Virginia","Big East","17.276","14","10","13","62","","13","78.559","92.052","42.988","58.606"
"2006","Penn State","Big Ten","11.93","22","22","40","35","","31","67.153","43.005","80","57.705"
"2006","Nebraska","Big 12","14.438","27","13","20","32","","14","69.26","66.812","62.194","57.697"
"2006","Colorado","Big 12","-2.847","101","71","82","33","","68","36.341","34.422","47.034","36.844"
"2006","Kansas State","Big 12","2.55","48","57","71","45","","62","45.166","25.456","55.202","78.838"
"2006","Missouri","Big 12","10.496","41","29","24","61","","25","69.293","69.188","62.827","47.338"
"2006","Kansas","Big 12","2.362","65","58","29","69","","37","55.374","47.778","56.715","61.636"
"2006","Iowa State","Big 12","-3.425","77","76","106","28","","87","31.538","52.847","20.796","46.652"
"2006","Texas","Big 12","21.553","15","4","18","40","","16","77.366","72.86","71.45","55.319"
"2006","Texas Tech","Big 12","11.468","38","25","56","34","","49","60.932","71.819","53.057","27.329"
"2006","Texas A&M","Big 12","10.39","25","30","48","48","","45","64.584","72.717","49.254","48.025"
"2006","Oklahoma","Big 12","16.932","10","11","17","16","","10","78.569","59.957","82.847","62.4"
"2006","Oklahoma State","Big 12","9.809","45","34","41","39","","35","68.673","80.416","46.26","53.27"
"2006","Baylor","Big 12","-4.464","70","82","84","17","","60","38.511","39.719","41.116","50.619"
"2006","Utah","Mountain West","5.661","53","46","31","77","","42","59.614","55.631","52.429","71.378"
"2006","BYU","Mountain West","17.306","16","9","3","70","","5","86.088","90.011","64.495","54.655"
