"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2015","UMass","Mid-American","-12.699","114","106","88","102","","102","27.199","30.399","35.464","38.246"
"2015","New Mexico State","Sun Belt","-18.282","116","122","122","107","","116","18.689","29.834","18.421","46.838"
"2015","Idaho","Sun Belt","-16.144","106","114","95","100","","104","22.591","41.651","16.446","42.844"
"2015","Notre Dame","FBS Independents","19.138","10","50","30","16","","14","79.028","85.127","54.057","68.547"
"2015","Georgia","SEC","15.885","16","19","27","44","","19","72.725","54.787","79.561","54.553"
"2015","Florida","SEC","13.162","14","29","40","18","","22","66.568","46.525","77.421","50.962"
"2015","Tennessee","SEC","20.53","26","9","4","32","","4","77.852","71.494","68.706","70.908"
"2015","South Carolina","SEC","4.283","81","64","113","14","","81","45.719","52.69","40.794","50.669"
"2015","Kentucky","SEC","2.117","72","69","75","51","","65","42.881","47.665","42.308","45.559"
"2015","Vanderbilt","SEC","1.546","69","74","101","8","","75","49.141","27.342","78.316","33.406"
"2015","Oklahoma State","Big 12","14.197","12","24","60","38","","43","69.672","70.066","61.138","54.204"
"2015","Kansas State","Big 12","5.24","59","60","82","34","","67","53.322","52.05","44.457","72.752"
"2015","Baylor","Big 12","21.846","19","6","5","60","","7","79.177","82.731","67.287","35.294"
"2015","Iowa State","Big 12","0.639","79","79","81","4","","51","51.396","51.055","50.07","53.473"
"2015","Texas Tech","Big 12","8.761","38","42","50","25","","25","62.813","84.21","26.331","64.145"
"2015","Kansas","Big 12","-18.872","127","124","128","6","","116","15.769","20.318","26.068","31.57"
"2015","TCU","Big 12","20.514","7","10","41","42","","32","73.121","67.436","70.098","53.115"
"2015","West Virginia","Big 12","14.447","36","22","38","46","","31","68.241","55.925","74.763","46.586"
"2015","UTEP","Conference USA","-18.197","103","121","116","122","","116","16.659","16.93","29.674","40.331"
"2015","Rice","Conference USA","-13.994","99","107","100","109","","111","20.817","42.221","11.711","50.061"
"2015","Oregon","Pac-12","14.415","21","23","21","22","","9","72.944","83.929","49.723","55.63"
"2015","Stanford","Pac-12","21.382","5","7","16","13","","8","80.723","84.065","60.545","65.703"
"2015","Washington","Pac-12","13.31","45","28","45","24","","35","71.406","48.039","78.387","66.869"
"2015","California","Pac-12","13.95","31","25","71","11","","44","69.559","79.476","54.999","34.971"
"2015","Oregon State","Pac-12","-8.024","96","97","124","10","","96","29.43","33.259","35.247","42.027"
"2015","Connecticut","American Athletic","-5.834","82","92","77","74","","86","41.438","26.37","59.391","52.249"
"2015","Washington State","Pac-12","7.083","29","48","36","50","","26","63.498","62.952","63.182","35.332"
"2015","USC","Pac-12","18.785","33","12","52","2","","24","71.776","71.06","66.901","43.757"
"2015","BYU","FBS Independents","9.004","35","40","59","65","","57","61.031","56.34","59.484","56.581"
"2015","Auburn","SEC","12.975","34","30","54","5","","27","65.377","59.006","63.705","56.526"
"2015","LSU","SEC","20.581","9","8","24","3","","10","75.302","73.837","70.441","43.184"
"2015","Miami (OH)","Mid-American","-18.505","115","123","120","103","","116","19.095","14.521","40.008","33.455"
"2015","Ohio","Mid-American","-4.216","76","88","33","112","","64","47.929","40.979","54.352","55.728"
"2015","Kent State","Mid-American","-16.593","113","115","102","97","","109","22.445","8.294","53.788","44.626"
"2015","Akron","Mid-American","-6.536","74","94","46","116","","79","44.49","32.631","59.128","49.287"
"2015","Toledo","Mid-American","8.618","30","43","9","87","","23","65.784","57.272","67.47","52.258"
"2015","UCLA","Pac-12","14.684","39","20","42","33","","33","65.824","66.695","64.184","34.695"
"2015","Utah","Pac-12","13.42","15","27","20","29","","13","70.843","49.291","80.535","58.004"
"2015","Arizona State","Pac-12","9.667","51","37","48","21","","34","59.913","59.564","54.063","56.622"
"2015","Arizona","Pac-12","5.557","50","54","73","61","","62","50.809","65.609","35.466","54.351"
"2015","Colorado","Pac-12","-0.74","94","82","97","55","","87","41.077","35.535","51.832","46.501"
"2015","Middle Tennessee","Conference USA","0.7","78","78","57","91","","73","47.426","53.889","39.977","55.538"
"2015","Florida Atlantic","Conference USA","-9.564","117","99","78","108","","97","30.238","20.665","48.071","56.767"
"2015","Florida International","Conference USA","-10.626","100","102","90","115","","106","28.849","31.019","30.411","64.617"
"2015","North Texas","Conference USA","-21.401","122","127","127","71","","116","8.47","9.084","17.018","57.838"
"2015","UT San Antonio","Conference USA","-16.657","119","116","106","106","","113","23.954","23.571","35.864","42.074"
"2015","Louisiana Tech","Conference USA","4.741","57","63","29","110","","56","58.015","62.26","56.364","35.558"
"2015","Western Kentucky","Conference USA","12.178","28","31","10","95","","29","74.224","84.496","49.798","55.099"
"2015","Temple","American Athletic","6.404","44","51","53","78","","68","58.021","42.186","69.261","54.009"
"2015","South Florida","American Athletic","5.334","61","59","32","72","","45","58.975","54.92","62.4","42.214"
"2015","Cincinnati","American Athletic","1.442","68","76","72","69","","78","47.143","58.471","39.178","39.533"
"2015","East Carolina","American Athletic","-0.264","89","81","68","70","","76","48.13","48.522","45.148","60.412"
"2015","UCF","American Athletic","-18.96","127","125","125","73","","116","10.778","8.429","22.656","60.227"
"2015","Houston","American Athletic","10.851","13","34","7","94","","30","69.598","63.204","66.318","59.151"
"2015","Navy","American Athletic","8.44","23","44","15","81","","21","73.054","79.482","55.853","48.659"
"2015","Memphis","American Athletic","7.745","40","46","35","67","","42","67.032","68.948","52.933","65.836"
"2015","Tulsa","American Athletic","-5.262","87","91","103","80","","108","35.848","54.059","26.724","40.492"
"2015","Tulane","American Athletic","-16.006","108","112","104","79","","103","21.712","20.658","39.231","28.115"
"2015","SMU","American Athletic","-14.187","109","108","115","64","","98","22.242","40.73","17.083","42.388"
"2015","Charlotte","Conference USA","-21.441","125","128","111","124","","116","13.483","9.358","35.534","39.103"
"2015","Louisiana","Sun Belt","-12.271","112","105","114","125","","116","21.026","32.131","19.727","51.252"
"2015","Arkansas State","Sun Belt","1.553","60","73","37","114","","69","53.484","42.189","60.107","59.612"
"2015","Louisiana Monroe","Sun Belt","-16.884","123","118","123","99","","116","18.123","10.706","42.515","37.906"
"2015","Troy","Sun Belt","-7.902","105","96","86","93","","94","37.725","32.212","44.475","58.93"
"2015","South Alabama","Sun Belt","-16.826","95","117","98","92","","105","23.476","25.178","36.15","33.265"
"2015","Texas State","Sun Belt","-15.094","120","110","107","105","","110","19.898","32.323","14.813","67.889"
"2015","Georgia State","Sun Belt","-10.45","98","100","79","123","","100","32.64","38.573","38.967","31.786"
"2015","Georgia Southern","Sun Belt","5.42","49","55","22","104","","46","64.377","60.015","62.38","53.78"
"2015","Appalachian State","Sun Belt","5.38","41","57","14","128","","52","56.484","51.25","62.106","41.367"
"2015","Alabama","SEC","27.35","1","1","3","1","","1","89.982","74.736","91.622","61.655"
"2015","Ole Miss","SEC","23.601","8","4","6","23","","3","84.02","85.366","73.002","45.888"
"2015","Mississippi State","SEC","16.677","18","17","39","12","","20","76.305","78.007","65.578","48.498"
"2015","Arkansas","SEC","17.389","25","14","34","7","","15","74.894","88.416","44.325","49.891"
"2015","Western Michigan","Mid-American","5.412","55","56","49","75","","60","55.358","66.66","37.394","57.246"
"2015","Ball State","Mid-American","-11.819","110","104","118","83","","112","19.684","26.836","20.312","61.27"
"2015","Eastern Michigan","Mid-American","-20.223","126","126","121","113","","116","13.725","35.159","8.761","54.331"
"2015","Central Michigan","Mid-American","-1.872","77","85","74","85","","88","45.933","45.843","49.653","44.329"
"2015","Northern Illinois","Mid-American","-1.05","73","83","66","88","","80","47.507","36.918","59.287","47.272"
"2015","Marshall","Conference USA","2.563","52","68","26","127","","66","54.161","40.251","57.641","74.151"
"2015","Old Dominion","Conference USA","-17.956","101","120","117","118","","116","17.577","26.48","23.424","32.443"
"2015","Southern Mississippi","Conference USA","3.57","63","65","31","101","","54","56.706","60.716","50.609","46.949"
"2015","Buffalo","Mid-American","-10.609","104","101","96","126","","115","30.903","32.243","39.689","40.675"
"2015","Florida State","ACC","18.007","24","13","12","52","","12","73.78","69.962","70.262","48.768"
"2015","Boston College","ACC","1.501","97","75","99","58","","89","45.47","13.052","84.091","40.174"
"2015","Clemson","ACC","22.273","2","5","1","17","","2","86.336","83.904","84.092","30.771"
"2015","NC State","ACC","8.833","62","41","44","63","","47","61.372","69.943","48.006","47.645"
"2015","Wake Forest","ACC","-3.393","92","86","119","37","","95","33.39","23.737","49.075","56.734"
"2015","Virginia Tech","ACC","9.484","53","38","69","43","","59","58.681","45.125","63.777","64.317"
"2015","Miami","ACC","6.358","37","52","56","30","","40","59.51","55.65","57.045","58.235"
"2015","Georgia Tech","ACC","10.211","86","36","85","20","","63","49.961","43.652","54.843","54.609"
"2015","North Carolina","ACC","16.992","20","16","13","53","","11","78.693","84.058","57.576","69.944"
"2015","Virginia","ACC","2.052","75","70","91","15","","70","49.097","52.401","50.688","37.037"
"2015","Duke","ACC","5.102","56","61","51","68","","61","53.419","48.564","51.752","65.71"
"2015","Bowling Green","Mid-American","7.151","47","47","28","82","","49","64.634","81.431","41.719","34.494"
"2015","Missouri","SEC","5.373","65","58","89","31","","74","49.182","25.007","72.545","46.369"
"2015","Texas A&M","SEC","14.64","32","21","55","27","","38","65.554","49.877","71.948","60.966"
"2015","Syracuse","ACC","0.071","80","80","87","39","","72","46.746","48.729","42.338","61.218"
"2015","Pittsburgh","ACC","8.389","43","45","76","28","","58","60.435","61.298","55.675","50.223"
"2015","Utah State","Mountain West","1.327","83","77","84","76","","90","44.195","36.39","56.55","43.811"
"2015","Boise State","Mountain West","12.164","58","32","18","98","","41","60.854","52.798","66.568","48.52"
"2015","Colorado State","Mountain West","-5.913","91","93","58","117","","92","38.338","47.948","30.903","55.592"
"2015","Wyoming","Mountain West","-16.028","121","113","126","84","","116","13.078","25.118","15.869","33.345"
"2015","New Mexico","Mountain West","-7.894","85","95","67","111","","91","35.669","38.386","36.3","56.215"
"2015","Air Force","Mountain West","1.846","71","71","64","86","","77","50.913","58.961","43.8","43.761"
"2015","Fresno State","Mountain West","-15.727","107","111","110","77","","107","19.528","17.883","31.363","49.529"
"2015","San Diego State","Mountain West","6.341","46","53","8","121","","36","60.459","47.496","65.973","60.432"
"2015","UNLV","Mountain West","-11.741","111","103","92","90","","101","28.486","36.204","26.642","56.292"
"2015","San José State","Mountain West","-4.118","93","87","65","96","","85","42.926","53.455","37.265","41.2"
"2015","Nevada","Mountain West","-8.091","88","98","80","119","","99","33.968","36.332","36.954","51.071"
"2015","Hawai'i","Mountain West","-17.484","118","119","112","89","","114","19.523","16.536","27.992","64.817"
"2015","Louisville","ACC","10.274","42","35","63","35","","50","64.901","50.68","73.773","47.236"
