"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2021","Notre Dame","FBS Independents","16.663","10","6","11","43","","9","75.258","65.49","76.81","49.223"
"2021","Georgia","SEC","30.024","1","1","1","3","","1","95.683","88.364","93.674","57.774"
"2021","Florida","SEC","7.616","67","34","62","17","","45","58.472","60.465","51.943","53.518"
"2021","Tennessee","SEC","9.339","46","26","27","6","","18","69.543","70.974","58.543","58.741"
"2021","South Carolina","SEC","0.271","43","69","95","9","","75","46.693","30.822","62.905","54.947"
"2021","Kentucky","SEC","8.819","19","28","15","32","","15","67.703","69.065","60.122","47.597"
"2021","Vanderbilt","SEC","-16.901","113","121","129","38","","118","14.872","18.358","27.469","29.342"
"2021","Oklahoma State","Big 12","16.161","4","7","23","18","","10","79.45","57.594","88.077","54.941"
"2021","Kansas State","Big 12","7.216","31","35","48","39","","35","65.346","60.552","65.138","46.111"
"2021","Baylor","Big 12","12.371","7","15","7","25","","6","75.994","63.404","75.744","60.75"
"2021","Iowa State","Big 12","15.289","38","9","56","24","","32","70.23","67.995","67.062","45.304"
"2021","Texas Tech","Big 12","3.962","40","50","72","30","","48","53.95","60.474","44.852","56.411"
"2021","Kansas","Big 12","-15.174","104","114","123","34","","95","24.634","37.333","23.149","45.919"
"2021","TCU","Big 12","0.408","64","68","96","28","","66","42.538","63.432","26.478","44.118"
"2021","West Virginia","Big 12","4.197","54","49","77","26","","49","57.447","52.258","65.376","34.85"
"2021","UMass","FBS Independents","-30.067","129","130","130","83","","118","5.355","12.807","7.722","46.731"
"2021","UTEP","Conference USA","-12.042","90","110","64","120","","90","34.176","40.429","40.858","29.354"
"2021","Rice","Conference USA","-18.065","106","122","109","93","","106","21.089","30.9","24.863","35.048"
"2021","Oregon","Pac-12","8.416","20","30","37","8","","23","66.258","68.439","60.381","39.353"
"2021","Stanford","Pac-12","-5.577","91","91","118","58","","100","37.483","38.855","37.658","60.487"
"2021","Washington","Pac-12","1.094","97","62","86","62","","84","45.273","30.883","63.283","44.395"
"2021","California","Pac-12","-0.104","83","73","53","90","","56","55.621","49.141","56.784","59.12"
"2021","Oregon State","Pac-12","3.458","59","52","59","69","","51","61.109","71.914","42.858","57.497"
"2021","Washington State","Pac-12","2.718","63","54","40","68","","42","59.421","50.394","67.485","38.829"
"2021","USC","Pac-12","1.696","87","58","99","56","","85","43.433","54.147","32.85","52.744"
"2021","BYU","FBS Independents","5.946","25","40","17","70","","21","65.61","79.327","45.546","42.575"
"2021","New Mexico State","FBS Independents","-25.024","126","127","117","55","","118","15.64","29.301","13.005","46.935"
"2021","Liberty","FBS Independents","1.903","72","56","49","106","","77","56.093","52.554","55.399","56.05"
"2021","Auburn","SEC","9.936","48","20","58","4","","29","65.579","58.916","65.66","52.409"
"2021","LSU","SEC","5.798","51","42","52","14","","31","58.871","51.751","60.988","54.877"
"2021","Miami (OH)","Mid-American","-4.099","79","85","67","89","","87","46.698","51.532","43.265","49.553"
"2021","Ohio","Mid-American","-15.369","123","115","98","129","","118","25.759","39.343","23.977","44.833"
"2021","Kent State","Mid-American","-9.046","88","100","83","85","","92","36.475","59.476","24.575","36.201"
"2021","Akron","Mid-American","-25.243","127","128","125","67","","118","12.209","23.766","12.423","51.83"
"2021","Toledo","Mid-American","1.012","94","65","35","108","","78","51.341","41.538","62.975","40.088"
"2021","UCLA","Pac-12","8.402","36","31","36","76","","41","64.659","75.121","46.537","50.952"
"2021","Utah","Pac-12","14.481","27","11","18","47","","17","76.747","76.904","68.97","42.847"
"2021","Arizona State","Pac-12","6.448","49","39","63","61","","61","61.838","63.091","61.229","32.675"
"2021","Arizona","Pac-12","-11.34","122","106","122","71","","110","27.645","27.321","38.934","43.182"
"2021","Colorado","Pac-12","-5.437","81","89","102","48","","80","37.667","24.607","47.67","71"
"2021","Middle Tennessee","Conference USA","-4.63","80","87","84","111","","98","44.894","31.8","57.59","59.504"
"2021","Florida Atlantic","Conference USA","-7.214","102","92","89","112","","99","32.657","29.032","45.997","40.74"
"2021","Florida International","Conference USA","-24.642","130","126","124","125","","118","10.981","18.965","13.336","49.321"
"2021","North Texas","Conference USA","-7.932","101","96","93","126","","116","32.637","32.403","40.08","49.878"
"2021","UT San Antonio","Conference USA","1.762","26","57","25","118","","62","60.42","65.44","49.007","55.101"
"2021","Louisiana Tech","Conference USA","-10.19","120","104","81","98","","88","36.772","38.635","43.374","39.11"
"2021","Western Kentucky","Conference USA","5.886","61","41","43","92","","64","63.408","78.962","39.977","49.94"
"2021","Temple","American Athletic","-23.417","117","125","128","96","","118","14.255","16.987","30.078","18.189"
"2021","South Florida","American Athletic","-11.464","114","107","116","66","","102","26.946","33.977","23.912","66.701"
"2021","Cincinnati","American Athletic","15.282","6","10","2","54","","5","82.123","71.231","76.52","72.048"
"2021","East Carolina","American Athletic","-2.733","58","81","66","87","","74","45.624","49.051","42.489","52.744"
"2021","UCF","American Athletic","2.28","42","55","42","75","","58","52.583","48.017","56.956","46.101"
"2021","Houston","American Athletic","6.901","17","37","10","78","","27","65.858","55.248","65.82","66.038"
"2021","Navy","American Athletic","-9.096","89","101","104","65","","89","37.93","34.947","46.762","47.638"
"2021","Memphis","American Athletic","-2.732","82","80","50","115","","76","45.217","54.208","40.01","45.479"
