"Year","Team","Conference","Fpi","ResumeRanks StrengthOfRecord","ResumeRanks Fpi","ResumeRanks AverageWinProbability","ResumeRanks StrengthOfSchedule","ResumeRanks RemainingStrengthOfSchedule","ResumeRanks GameControl","Efficiencies Overall","Efficiencies Offense","Efficiencies Defense","Efficiencies SpecialTeams"
"2018","Notre Dame","FBS Independents","19.293","4","50","7","23","","5","81.858","71.596","80.289","54.239"
"2018","Georgia","SEC","24.87","7","3","5","8","","3","93.166","91.599","83.744","53.793"
"2018","Florida","SEC","17.11","10","11","35","37","","22","76.269","68.506","74.918","52.17"
"2018","Tennessee","SEC","1.215","49","65","89","7","","51","52.123","41.702","59.587","53.881"
"2018","South Carolina","SEC","8.264","36","35","75","28","","43","67.884","71.206","56.316","57.352"
"2018","Kentucky","SEC","11.372","8","26","40","38","","23","70.707","56.014","75.572","53.609"
"2018","Vanderbilt","SEC","4.171","56","53","61","45","","41","61.001","64.102","53.842","50.569"
"2018","Oklahoma State","Big 12","10.344","42","30","44","34","","36","62.173","72.411","45.765","50.243"
"2018","Kansas State","Big 12","2.016","59","62","95","20","","69","50.736","47.065","51.263","58.908"
"2018","Baylor","Big 12","2.46","43","61","87","49","","70","49.64","60.169","36.93","53.999"
"2018","Iowa State","Big 12","7.471","32","38","55","29","","37","62.122","56.05","65.862","42.565"
"2018","Texas Tech","Big 12","9.054","68","34","82","25","","60","57.036","55.167","52.598","60.894"
"2018","Kansas","Big 12","-3.242","96","80","115","48","","96","38.975","32.999","50.131","47.36"
"2018","TCU","Big 12","6.021","40","47","65","16","","42","61.272","41.436","77.012","42.525"
"2018","West Virginia","Big 12","15.1","24","15","13","33","","10","78.616","80.453","62.071","60.61"
"2018","UMass","FBS Independents","-13.287","109","106","105","91","","114","19.466","35.145","18.429","35.291"
"2018","UTEP","Conference USA","-25.402","130","130","126","129","","121","10.212","10.598","23.135","39.25"
"2018","Rice","Conference USA","-23.58","128","128","125","103","","121","10.648","9.909","19.489","60.838"
"2018","Oregon","Pac-12","9.887","29","31","28","62","","26","69.241","70.256","62.02","47.026"
"2018","Stanford","Pac-12","12.961","18","21","60","26","","38","73.515","72.31","62.422","64.289"
"2018","Washington","Pac-12","17.292","15","10","20","11","","7","78.683","71.742","77.573","42.679"
