Team,Mascot,Abbreviation,Conference,Division,Color,Alt Color,Logos[0],Location Name,Location City,Location State
Marshall,Thundering Herd,MRSH,Sun Belt,East,#00ae42,#be854c,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,Joan C. Edwards Stadium,Huntington,WV
Maryland,Terrapins,MD,Big Ten,,#D5002B,#ffcd00,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,Maryland Stadium,College Park,MD
Memphis,Tigers,MEM,American Athletic,,#004991,#8e908f,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,Liberty Bowl Memorial Stadium,Memphis,TN
Miami,Hurricanes,MIAMI,ACC,,#005030,#f47321,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,Hard Rock Stadium,Miami Gardens,FL
Miami (OH),RedHawks,M-OH,Mid-American,,#a4000c,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,Yager Stadium,Oxford,OH
Michigan,Wolverines,MICH,Big Ten,,#00274c,#FFCB05,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan Stadium,Ann Arbor,MI
Michigan State,Spartans,MSU,Big Ten,,#18453B,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,Spartan Stadium,East Lansing,MI
Middle Tennessee,Blue Raiders,MTSU,Conference USA,,#006db6,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,"Johnny Red"""" Floyd Stadium""""",Murfreesboro,TN
Minnesota,Golden Gophers,MINN,Big Ten,,#5e0a2f,#fab41c,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,TCF Bank Stadium,Minneapolis,MN
Mississippi State,Bulldogs,MSST,SEC,,#5d1725,#c1c6c8,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,Davis Wade Stadium,Starkville,MS
Missouri,Tigers,MIZ,SEC,,#f1b82d,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,Faurot Field,Columbia,MO
Navy,Midshipmen,NAVY,American Athletic,,#00225b,#b5a67c,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,Navy-Marine Corps Memorial Stadium,Annapolis,MD
NC State,Wolfpack,NCST,ACC,,#cc0000,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,Carter-Finley Stadium,Raleigh,NC
Nebraska,Cornhuskers,NEB,Big Ten,,#d00000,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,Memorial Stadium,Lincoln,NE
Nevada,Wolf Pack,NEV,Mountain West,,#002d62,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,Mackay Stadium,Reno,NV
New Mexico,Lobos,UNM,Mountain West,,#000000,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,University Stadium,Albuquerque,NM
New Mexico State,Aggies,NMSU,Conference USA,,#891216,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,Aggie Memorial Stadium,Las Cruces,NM
North Carolina,Tar Heels,UNC,ACC,,#7bafd4,#13294b,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,Kenan Memorial Stadium,Chapel Hill,NC
Northern Illinois,Huskies,NIU,Mid-American,,#F1122C,#cc0000,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,Brigham Field at Huskie Stadium,DeKalb,IL
North Texas,Mean Green,UNT,American Athletic,,#000000,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,Apogee Stadium,Denton,TX
Northwestern,Wildcats,NW,Big Ten,,#582c83,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,Ryan Field,Evanston,IL
Notre Dame,Fighting Irish,ND,FBS Independents,,#0c2340,#c99700,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,Notre Dame Stadium,Notre Dame,IN
Ohio,Bobcats,OHIO,Mid-American,,#295A29,#e4bb85,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,Peden Stadium,Athens,OH
Ohio State,Buckeyes,OSU,Big Ten,,#ce1141,#505056,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,Ohio Stadium,Columbus,OH
Oklahoma,Sooners,OKLA,SEC,,#a32036,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,Gaylord Family Oklahoma Memorial Stadium,Norman,OK
Oklahoma State,Cowboys,OKST,Big 12,,#000000,#dddddd,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,Boone Pickens Stadium,Stillwater,OK
Old Dominion,Monarchs,ODU,Sun Belt,East,#00507d,#a1d2f1,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,Foreman Field,Norfolk,VA
Ole Miss,Rebels,MISS,SEC,,#13294b,#c8102e,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,Vaught-Hemingway Stadium,Oxford,MS
Oregon,Ducks,ORE,Big Ten,,#007030,#fee11a,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,Autzen Stadium,Eugene,OR
Oregon State,Beavers,ORST,Pac-12,,#231f20,#d73f09,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png,Reser Stadium,Corvallis,OR
Penn State,Nittany Lions,PSU,Big Ten,,#00265D,#002e5c,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,Beaver Stadium,University Park,PA
Pittsburgh,Panthers,PITT,ACC,,#003263,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,Heinz Field,Pittsburgh,PA
Purdue,Boilermakers,PUR,Big Ten,,#000000,#cfb991,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Ross-Ade Stadium,West Lafayette,IN
Rice,Owls,RICE,American Athletic,,#003d7d,#d1d5d8,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png,Rice Stadium,Houston,TX
Rutgers,Scarlet Knights,RUTG,Big Ten,,#d21034,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,SHI Stadium,Piscataway,NJ
Sam Houston State,Bearkats,SHSU,Conference USA,,#fe5000,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,Bowers Stadium,Huntsville,TX
San Diego State,Aztecs,SDSU,Mountain West,,#c41230,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,Snapdragon Stadium,San Diego,CA
San Jose State,Spartans,SJSU,Mountain West,,#005893,#fdba31,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png,Spartan Stadium,San Jose,CA
SMU,Mustangs,SMU,ACC,,#354ca1,#cc0035,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,Gerald J. Ford Stadium,University Park,TX
South Alabama,Jaguars,USA,Sun Belt,West,#003E7E,,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png,Hancock Whitney Stadium,Mobile,AL
South Carolina,Gamecocks,SC,SEC,,#73000a,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,Williams-Brice Stadium,Columbia,SC
Southern Mississippi,Golden Eagles,USM,Sun Belt,West,#FFAA3C,#ffc423,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,M. M. Roberts Stadium,Hattiesburg,MS
South Florida,Bulls,USF,American Athletic,,#004A36,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png,Raymond James Stadium,Tampa,FL
Stanford,Cardinal,STAN,ACC,,#8c1515,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,Stanford Stadium,Stanford,CA
Syracuse,Orange,SYR,ACC,,#ff6500,#000e54,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,Carrier Dome,Syracuse,NY
TCU,Horned Frogs,TCU,Big 12,,#4d1979,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,Amon G. Carter Stadium,Fort Worth,TX
Temple,Owls,TEM,American Athletic,,#A80532,#a7a9ac,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png,Lincoln Financial Field,Philadelphia,PA
Tennessee,Volunteers,TENN,SEC,,#ff8200,#58595b,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Neyland Stadium,Knoxville,TN
Texas,Longhorns,TEX,SEC,,#c15d26,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png,Darrell K Royal-Texas Memorial Stadium,Austin,TX
Texas A&M,Aggies,TA&M,SEC,,#500000,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png,Kyle Field,College Station,TX
Texas State,Bobcats,TXST,Sun Belt,West,#4e1719,#b4975a,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,Jim Wacker Field at Bobcat Stadium,San Marcos,TX
Texas Tech,Red Raiders,TTU,Big 12,,#000000,#da291c,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,Jones AT&T Stadium,Lubbock,TX
Toledo,Rockets,TOL,Mid-American,,#0a2240,#ffcd00,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,Glass Bowl,Toledo,OH
Troy,Trojans,TROY,Sun Belt,West,#AE0210,#88898c,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,Veterans Memorial Stadium,Troy,AL
Tulane,Green Wave,TULN,American Athletic,,#006547,#468ac9,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,Benson Field at Yulman Stadium,New Orleans,LA
Tulsa,Golden Hurricane,TLSA,American Athletic,,#003595,#d0b787,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png,Skelly Field at H. A. Chapman Stadium,Tulsa,OK
UAB,Blazers,UAB,American Athletic,,#003b28,#ffc845,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,Protective Stadium,Birmingham,AL
UCF,Knights,UCF,Big 12,,#000000,#b4a269,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,Bright House Networks Stadium,Orlando,FL
UCLA,Bruins,UCLA,Big Ten,,#2774ae,#f2a900,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,Rose Bowl,Pasadena,CA
UMass,Minutemen,UMASS,FBS Independents,,#971B2F,#572932,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,Warren McGuirk Alumni Stadium,Hadley,MA
UNLV,Rebels,UNLV,Mountain West,,#b10202,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png,Allegiant Stadium,Las Vegas,NV
USC,Trojans,USC,Big Ten,,#9e2237,#ffcc00,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,Los Angeles Memorial Coliseum,Los Angeles,CA
Utah,Utes,UTAH,Big 12,,#ea002a,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png,Rice-Eccles Stadium,Salt Lake City,UT
Utah State,Aggies,USU,Mountain West,,#00263a,#949ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,Romney Stadium,Logan,UT
UTEP,Miners,UTEP,Conference USA,,#ff8200,#041e42,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,Sun Bowl Stadium,El Paso,TX
UT San Antonio,Roadrunners,UTSA,American Athletic,,#002A5C,#f47321,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,Alamodome,San Antonio,TX
Vanderbilt,Commodores,VAN,SEC,,#000000,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,Vanderbilt Stadium,Nashville,TN
Virginia,Cavaliers,UVA,ACC,,#232d4b,#f84c1e,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,Scott Stadium,Charlottesville,VA
Virginia Tech,Hokies,VT,ACC,,#630031,#cf4520,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,Lane Stadium,Blacksburg,VA
Wake Forest,Demon Deacons,WAKE,ACC,,#000000,#ceb888,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,BB&T Field,Winston-Salem,NC
Washington,Huskies,WASH,Big Ten,,#33006f,#e8d3a2,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png,Husky Stadium,Seattle,WA
Washington State,Cougars,WSU,Pac-12,,#981e32,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,Martin Stadium,Pullman,WA
Western Kentucky,Hilltoppers,WKU,Conference USA,,#F32026,#b3b5b8,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png,Houchens Industries-L. T. Smith Stadium,Bowling Green,KY
Western Michigan,Broncos,WMU,Mid-American,,#532e1f,#8b7f79,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,Waldo Stadium,Kalamazoo,MI
West Virginia,Mountaineers,WVU,Big 12,,#002855,#eaaa00,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png,Mountaineer Field at Milan Puskar Stadium,Morgantown,WV
Wisconsin,Badgers,WIS,Big Ten,,#c4012f,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Camp Randall Stadium,Madison,WI
Wyoming,Cowboys,WYO,Mountain West,,#492f24,#ffc425,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,War Memorial Stadium,Laramie,WY
