"Year","Rank","Team","Points"
"2006","1","USC","316.97"
"2006","2","Florida","294.83"
"2006","3","Georgia","292.15"
"2006","4","Florida State","286.53"
"2006","5","Notre Dame","282.80"
"2006","6","Texas","281.78"
"2006","7","Penn State","270.41"
"2006","8","LSU","269.92"
"2006","9","Oklahoma","262.96"
"2006","10","Michigan","256.69"
"2006","11","Auburn","245.54"
"2006","12","Miami","237.13"
"2006","13","Alabama","233.66"
"2006","14","Clemson","232.26"
"2006","15","Ole Miss","231.94"
"2006","16","Pittsburgh","229.68"
"2006","17","Texas A&M","215.25"
"2006","18","Oklahoma State","213.74"
"2006","19","Arizona","213.58"
"2006","20","California","212.65"
"2006","21","Nebraska","207.20"
"2006","22","Arkansas","204.67"
"2006","23","Maryland","202.78"
"2006","24","Louisville","201.32"
"2006","25","Ohio State","198.91"
"2006","26","North Carolina","197.92"
"2006","27","Illinois","193.10"
"2006","28","Texas Tech","192.05"
"2006","29","Tennessee","191.71"
"2006","30","Arizona State","188.18"
"2006","31","Virginia Tech","185.47"
"2006","32","Washington","183.52"
"2006","33","South Carolina","182.76"
"2006","34","Oregon State","180.86"
"2006","35","Boston College","179.61"
"2006","36","Wisconsin","177.10"
"2006","37","Iowa","174.47"
"2006","38","Rutgers","170.43"
"2006","39","Kansas","169.98"
"2006","40","Mississippi State","168.98"
"2006","41","Kansas State","168.16"
"2006","42","Iowa State","164.57"
"2006","43","Missouri","162.96"
"2006","44","Michigan State","162.06"
"2006","45","Washington State","161.64"
"2006","46","UAB","155.39"
"2006","47","Colorado","155.35"
"2006","48","NC State","154.99"
"2006","49","Baylor","154.18"
"2006","50","Oregon","152.98"
"2006","51","Duke","152.48"
"2006","52","South Florida","152.47"
"2006","53","Purdue","151.90"
"2006","54","Vanderbilt","150.75"
"2006","55","Syracuse","150.59"
"2006","56","Utah","147.87"
"2006","57","UCLA","145.04"
"2006","58","TCU","143.23"
"2006","59","Minnesota","142.77"
"2006","60","West Virginia","142.51"
"2006","61","Kentucky","139.71"
"2006","62","Georgia Tech","138.67"
"2006","63","Stanford","137.17"
"2006","64","Southern Mississippi","136.68"
"2006","65","BYU","128.22"
"2006","66","Wake Forest","122.34"
"2006","67","Indiana","122.15"
"2006","68","New Mexico","121.96"
"2006","69","UTEP","120.39"
"2006","70","San Diego State","119.38"
"2006","71","Northwestern","115.18"
"2006","72","East Carolina","115.08"
"2006","73","UCF","112.86"
"2006","74","Colorado State","112.11"
"2006","75","Northern Illinois","111.98"
"2006","76","Fresno State","111.54"
"2006","77","Virginia","111.11"
"2006","78","Toledo","109.58"
"2006","79","Marshall","108.78"
"2006","80","Boise State","106.05"
"2006","81","Louisiana Tech","104.59"
"2006","82","Akron","102.97"
"2006","83","Houston","101.62"
"2006","84","Tulane","100.71"
"2006","85","Buffalo","96.91"
"2006","86","Ball State","96.34"
"2006","87","Miami (OH)","94.07"
"2006","88","San José State","93.62"
"2006","89","Bowling Green","93.28"
"2006","90","Western Michigan","93.25"
"2006","91","Idaho","92.85"
"2006","92","Troy","91.69"
"2006","93","Connecticut","91.46"
"2006","94","Florida International","90.73"
"2006","95","Wyoming","89.64"
"2006","96","Rice","89.39"
"2006","97","UNLV","88.98"
"2006","98","Tulsa","88.58"
"2006","99","Nevada","86.13"
"2006","100","Memphis","84.38"
"2006","101","Ohio","81.66"
"2006","102","Temple","77.53"
"2006","103","Louisiana","76.72"
"2006","104","Louisiana Monroe","69.77"
"2006","105","SMU","64.64"
"2006","106","Arkansas State","64.59"
"2006","107","New Mexico State","63.94"
"2006","108","North Texas","63.55"
"2006","109","Cincinnati","63.40"
"2006","110","Central Michigan","62.50"
"2006","111","Middle Tennessee","55.56"
"2006","112","Eastern Michigan","49.67"
"2006","113","Kent State","48.84"
"2006","114","Hawai'i","46.53"
"2006","115","Air Force","45.95"
"2006","116","Utah State","40.78"
"2006","117","Army","38.48"
"2006","118","Florida Atlantic","32.72"
"2006","119","Navy","32.36"
"2006","120","Southern Illinois","30.46"
"2006","122","Alabama State","6.67"
