"Year","Rank","Team","Points"
"2011","1","Alabama","298.50"
"2011","2","Florida State","297.03"
"2011","3","USC","286.99"
"2011","4","Texas","284.05"
"2011","5","Auburn","281.02"
"2011","6","Ohio State","278.47"
"2011","7","Georgia","278.18"
"2011","8","LSU","272.65"
"2011","9","Notre Dame","271.38"
"2011","10","Clemson","269.69"
"2011","11","Florida","258.24"
"2011","12","Oregon","257.09"
"2011","13","Oklahoma","256.79"
"2011","14","Tennessee","253.78"
"2011","15","California","249.70"
"2011","16","Nebraska","245.60"
"2011","17","South Carolina","244.09"
"2011","18","North Carolina","230.93"
"2011","19","Texas Tech","230.54"
"2011","20","Ole Miss","226.45"
"2011","21","Arkansas","226.22"
"2011","22","Stanford","221.85"
"2011","23","Virginia","220.78"
"2011","24","Washington","219.90"
"2011","25","Oklahoma State","212.82"
"2011","26","Iowa","208.64"
"2011","27","Louisville","208.34"
"2011","28","TCU","207.48"
"2011","29","Rutgers","205.88"
"2011","30","Michigan","205.16"
"2011","31","Penn State","201.40"
"2011","32","Michigan State","198.83"
"2011","33","Miami","198.68"
"2011","34","Texas A&M","193.44"
"2011","35","Virginia Tech","190.02"
"2011","36","Kentucky","184.89"
"2011","37","Illinois","183.92"
"2011","38","Utah","182.11"
"2011","39","Boston College","180.89"
"2011","40","Kansas","178.77"
"2011","41","Mississippi State","178.10"
"2011","42","Oregon State","175.84"
"2011","43","Georgia Tech","174.84"
"2011","44","Wisconsin","174.08"
"2011","45","UCLA","172.23"
"2011","46","Baylor","169.94"
"2011","47","Cincinnati","168.77"
"2011","48","Arizona","166.94"
"2011","49","Vanderbilt","164.00"
"2011","50","Maryland","162.97"
"2011","51","Kansas State","161.75"
"2011","52","West Virginia","160.31"
"2011","53","Boise State","159.98"
"2011","54","UCF","158.74"
"2011","55","Indiana","158.62"
"2011","56","Missouri","158.06"
"2011","57","Minnesota","157.15"
"2011","58","Syracuse","155.37"
"2011","59","Iowa State","153.86"
"2011","60","Marshall","152.84"
"2011","61","Northwestern","150.59"
"2011","62","Pittsburgh","150.28"
"2011","63","Duke","149.33"
"2011","64","Colorado","147.70"
"2011","65","Arizona State","146.68"
"2011","66","Wake Forest","144.89"
"2011","67","SMU","144.59"
"2011","68","Washington State","144.31"
"2011","69","BYU","143.97"
"2011","70","South Florida","143.19"
"2011","71","NC State","139.33"
"2011","72","East Carolina","138.07"
"2011","73","Houston","133.64"
"2011","74","Toledo","132.90"
"2011","75","Purdue","129.88"
"2011","76","Colorado State","122.79"
"2011","77","Memphis","122.48"
"2011","78","San Diego State","118.44"
"2011","79","Connecticut","117.60"
"2011","80","Tulsa","113.38"
"2011","81","Tulane","110.80"
"2011","82","Western Michigan","94.12"
"2011","83","Temple","93.88"
"2011","84","Louisiana","91.52"
"2011","85","Western Kentucky","85.81"
"2011","86","Southern Mississippi","83.64"
"2011","87","Navy","81.56"
"2011","88","Army","77.89"
"2011","89","Air Force","77.86"
"2011","90","Bowling Green","77.59"
"2011","91","South Alabama","76.36"
"2011","92","Florida International","76.24"
"2011","93","Central Michigan","75.64"
"2011","94","Hawai'i","73.77"
"2011","95","Northern Illinois","67.82"
"2011","96","Ohio","67.80"
"2011","97","Rice","67.71"
"2011","98","Fresno State","67.30"
"2011","99","Middle Tennessee","66.67"
"2011","100","Buffalo","61.88"
"2011","101","UAB","61.54"
"2011","102","Ball State","60.53"
"2011","103","Florida Atlantic","60.49"
"2011","104","Wyoming","59.82"
"2011","105","New Mexico","57.85"
"2011","106","Louisiana Monroe","57.72"
"2011","107","Miami (OH)","57.32"
"2011","108","Utah State","56.53"
"2011","109","North Texas","55.16"
"2011","110","UNLV","53.88"
"2011","111","Eastern Michigan","53.69"
"2011","112","Troy","51.83"
"2011","113","Louisiana Tech","51.59"
"2011","114","Akron","50.30"
"2011","115","Nevada","50.28"
"2011","116","San José State","48.83"
"2011","117","Idaho","48.78"
"2011","118","Arkansas State","48.25"
"2011","119","Kent State","45.57"
"2011","120","UTEP","35.04"
"2011","121","New Mexico State","30.13"
"2011","122","Northern Iowa","28.92"
"2011","123","Villanova","24.24"
"2011","124","South Carolina State","18.10"
"2011","125","Liberty","13.33"
"2011","126","Harvard","13.29"
"2011","127","Texas State","12.55"
"2011","128","Holy Cross","11.46"
"2011","129","Old Dominion","8.32"
"2011","130","UMass","6.67"
"2011","131","UT San Antonio","6.67"
"2011","132","Bethune-Cookman","5.99"
"2011","133","Appalachian State","4.32"
"2011","134","Western Carolina","0.00"
"2011","135","Eastern Illinois","0.00"
"2011","136","North Dakota State","0.00"
"2011","137","Indiana State","0.00"
