"Year","Rank","Team","Points"
"2005","1","USC","285.12"
"2005","2","Florida State","281.52"
"2005","3","Oklahoma","279.20"
"2005","4","Tennessee","276.14"
"2005","5","Michigan","266.54"
"2005","6","Iowa","252.89"
"2005","7","Georgia","248.26"
"2005","8","Nebraska","247.47"
"2005","9","Miami","246.36"
"2005","10","California","241.37"
"2005","11","Texas A&M","235.38"
"2005","12","Florida","220.98"
"2005","13","Texas","218.62"
"2005","14","LSU","218.34"
"2005","15","Clemson","217.21"
"2005","16","Alabama","216.52"
"2005","17","Virginia","211.72"
"2005","18","South Carolina","210.90"
"2005","19","Auburn","209.75"
"2005","20","Virginia Tech","209.67"
"2005","21","UCLA","209.07"
"2005","22","Maryland","206.08"
"2005","23","Arizona","204.44"
"2005","24","Stanford","200.10"
"2005","25","Penn State","195.18"
"2005","26","Arkansas","192.49"
"2005","27","Purdue","188.81"
"2005","28","Mississippi State","188.28"
"2005","29","NC State","187.69"
"2005","30","Wisconsin","187.47"
"2005","31","Oregon","184.71"
"2005","32","Ole Miss","183.26"
"2005","33","Arizona State","180.30"
"2005","34","Michigan State","178.54"
"2005","35","Kansas State","177.71"
"2005","36","Louisville","176.69"
"2005","37","West Virginia","172.44"
"2005","38","Texas Tech","172.32"
"2005","39","Notre Dame","166.05"
"2005","40","Colorado","165.97"
"2005","41","Kansas","164.63"
"2005","42","Missouri","164.44"
"2005","43","Washington State","162.68"
"2005","44","San Diego State","160.86"
"2005","45","Oregon State","159.77"
"2005","46","Pittsburgh","158.20"
"2005","47","Oklahoma State","157.39"
"2005","48","Illinois","156.40"
"2005","49","North Carolina","153.20"
"2005","50","TCU","152.76"
"2005","51","Iowa State","151.53"
"2005","52","Boston College","146.65"
"2005","53","Minnesota","142.28"
"2005","54","Northwestern","141.34"
"2005","55","Duke","140.17"
"2005","56","South Florida","130.19"
"2005","57","Utah","128.26"
"2005","58","Tulsa","126.20"
"2005","59","Rutgers","125.44"
"2005","60","Baylor","125.15"
"2005","61","BYU","123.25"
"2005","62","Boise State","122.57"
"2005","63","SMU","122.19"
"2005","64","Syracuse","122.04"
"2005","65","Wake Forest","119.70"
"2005","66","Southern Mississippi","117.82"
"2005","67","UCF","115.27"
"2005","68","Washington","114.56"
"2005","69","Connecticut","114.29"
"2005","70","Georgia Tech","114.18"
"2005","71","UTEP","112.64"
"2005","72","Hawai'i","112.61"
"2005","73","UAB","110.09"
"2005","74","Ohio State","109.84"
"2005","75","Marshall","106.85"
"2005","76","UNLV","104.85"
"2005","77","Northern Illinois","103.92"
"2005","78","Indiana","103.16"
"2005","79","Houston","102.37"
"2005","80","Fresno State","100.59"
"2005","81","Western Michigan","95.69"
"2005","82","Louisiana","94.87"
"2005","83","Memphis","94.57"
"2005","84","Colorado State","94.42"
"2005","85","Cincinnati","93.59"
"2005","86","Middle Tennessee","92.75"
"2005","87","New Mexico","91.30"
"2005","88","Akron","88.92"
"2005","89","Vanderbilt","88.91"
"2005","90","Troy","86.53"
"2005","91","Louisiana Tech","85.65"
"2005","92","Nevada","83.33"
"2005","93","Tulane","82.95"
"2005","94","Rice","81.71"
"2005","95","Bowling Green","77.41"
"2005","96","Buffalo","75.75"
"2005","97","Idaho","72.10"
"2005","98","North Texas","72.06"
"2005","99","Miami (OH)","70.84"
"2005","100","Ball State","70.61"
"2005","101","Toledo","70.41"
"2005","102","Ohio","68.71"
"2005","103","Kent State","65.23"
"2005","104","Central Michigan","64.54"
"2005","105","Arkansas State","61.04"
"2005","106","Wyoming","58.87"
"2005","107","Louisiana Monroe","55.67"
"2005","108","Temple","53.00"
"2005","109","East Carolina","47.30"
"2005","110","San José State","44.52"
"2005","111","Utah State","41.79"
"2005","112","Air Force","41.08"
"2005","113","Navy","29.17"
"2005","114","Florida Atlantic","28.65"
"2005","115","Eastern Michigan","28.36"
"2005","116","Florida International","26.01"
"2005","117","New Mexico State","19.80"
"2005","118","Army","8.82"
