"Year","Rank","Team","Points"
"2002","1","Texas","305.24"
"2002","2","Florida State","303.14"
"2002","3","Tennessee","299.26"
"2002","4","Ohio State","277.57"
"2002","5","Miami","274.87"
"2002","6","Oklahoma","273.53"
"2002","7","UCLA","258.06"
"2002","8","USC","250.90"
"2002","9","Georgia","244.84"
"2002","10","Florida","236.73"
"2002","11","Virginia","235.48"
"2002","12","Notre Dame","235.46"
"2002","13","South Carolina","234.80"
"2002","14","Michigan","230.11"
"2002","15","Mississippi State","226.35"
"2002","16","Auburn","226.30"
"2002","17","Washington","218.86"
"2002","18","Texas A&M","218.74"
"2002","19","Colorado","218.56"
"2002","20","Kansas State","216.77"
"2002","21","LSU","210.17"
"2002","22","Penn State","207.39"
"2002","23","Ole Miss","193.50"
"2002","24","Arizona State","193.35"
"2002","25","Arkansas","191.28"
"2002","26","Missouri","190.06"
"2002","27","Michigan State","182.39"
"2002","28","Pittsburgh","181.22"
"2002","29","Clemson","179.37"
"2002","30","Maryland","176.61"
"2002","31","Oklahoma State","176.17"
"2002","32","Stanford","175.79"
"2002","33","Arizona","175.32"
"2002","34","Texas Tech","173.15"
"2002","35","Nebraska","172.33"
"2002","36","Baylor","168.66"
"2002","37","BYU","167.84"
"2002","38","Iowa State","166.21"
"2002","39","Boston College","160.57"
"2002","40","Houston","159.33"
"2002","41","UCF","156.61"
"2002","42","Illinois","155.41"
"2002","43","Virginia Tech","154.53"
"2002","44","Oregon","154.47"
"2002","45","Oregon State","153.38"
"2002","46","NC State","149.75"
"2002","47","Alabama","147.97"
"2002","48","Washington State","147.73"
"2002","49","North Carolina","143.32"
"2002","50","West Virginia","141.52"
"2002","51","Southern Mississippi","141.15"
"2002","52","Purdue","137.02"
"2002","53","Georgia Tech","136.09"
"2002","54","Louisville","135.36"
"2002","55","Kansas","134.82"
"2002","56","Wisconsin","129.47"
"2002","57","Memphis","128.75"
"2002","58","San José State","126.74"
"2002","59","Middle Tennessee","124.79"
"2002","60","San Diego State","117.81"
"2002","61","Rutgers","117.69"
"2002","62","TCU","113.44"
"2002","63","Northwestern","111.17"
"2002","64","Hawai'i","109.63"
"2002","65","Tulane","108.31"
"2002","66","Tulsa","107.69"
"2002","67","Duke","106.65"
"2002","68","Colorado State","104.10"
"2002","69","Vanderbilt","95.67"
"2002","70","Nevada","93.48"
"2002","71","New Mexico","93.32"
"2002","72","Indiana","91.93"
"2002","73","UAB","91.70"
"2002","74","Minnesota","90.65"
"2002","75","Arkansas State","90.16"
"2002","76","Cincinnati","87.58"
"2002","77","SMU","84.52"
"2002","78","Western Michigan","84.27"
"2002","79","UNLV","83.93"
"2002","80","Wyoming","83.82"
"2002","81","Bowling Green","81.31"
"2002","82","East Carolina","80.47"
"2002","83","Temple","78.82"
"2002","84","Idaho","77.27"
"2002","85","Eastern Michigan","77.27"
"2002","86","Louisiana Monroe","76.83"
"2002","87","Akron","76.83"
"2002","88","Boise State","76.83"
"2002","89","Buffalo","76.26"
"2002","90","Utah State","75.17"
"2002","91","Central Michigan","73.52"
"2002","92","Northern Illinois","72.15"
"2002","93","Connecticut","66.92"
"2002","94","Louisiana","60.25"
"2002","95","Miami (OH)","60.25"
"2002","96","Marshall","60.25"
"2002","97","Utah","59.74"
"2002","98","South Florida","59.28"
"2002","99","Louisiana Tech","45.48"
"2002","100","Army","41.19"
"2002","101","Toledo","29.44"
"2002","102","North Texas","26.46"
"2002","103","New Mexico State","19.80"
"2002","104","Wake Forest","19.80"
"2002","105","Ohio","13.29"
"2002","106","Kent State","6.67"
"2002","107","Troy","6.67"
"2002","108","Navy","6.67"
"2002","109","Florida International","6.67"
"2002","110","Air Force","6.67"
"2002","111","Howard","0.00"
"2002","111","UTEP","0.00"
"2002","111","Maine","0.00"
"2002","111","Eastern Washington","0.00"
"2002","111","Fresno State","0.00"
"2002","111","Cornell","0.00"
"2002","111","Weber State","0.00"
"2002","111","Monmouth","0.00"
"2002","111","Kentucky","0.00"
