"Year","Rank","Team","Points"
"2009","1","LSU","293.15"
"2009","2","USC","289.28"
"2009","3","Alabama","288.63"
"2009","4","Georgia","283.72"
"2009","5","Ohio State","281.93"
"2009","6","Texas","277.12"
"2009","7","Florida","270.42"
"2009","8","Tennessee","264.62"
"2009","9","Oklahoma","262.78"
"2009","10","Michigan","262.72"
"2009","11","Florida State","259.63"
"2009","12","North Carolina","258.85"
"2009","13","UCLA","258.45"
"2009","14","South Carolina","257.08"
"2009","15","Notre Dame","246.29"
"2009","16","Miami","242.24"
"2009","17","Ole Miss","240.24"
"2009","18","Mississippi State","233.49"
"2009","19","Penn State","233.47"
"2009","20","Arkansas","232.93"
"2009","21","Stanford","232.43"
"2009","22","Michigan State","229.62"
"2009","23","Auburn","226.93"
"2009","24","West Virginia","225.23"
"2009","25","Virginia Tech","224.32"
"2009","26","South Florida","222.52"
"2009","27","Texas A&M","219.98"
"2009","28","Illinois","214.15"
"2009","29","Rutgers","214.01"
"2009","30","Oregon","212.76"
"2009","31","Maryland","211.59"
"2009","32","Arizona State","211.24"
"2009","33","Virginia","210.97"
"2009","34","Oklahoma State","209.57"
"2009","35","Minnesota","209.20"
"2009","36","Clemson","207.86"
"2009","37","California","206.98"
"2009","38","Missouri","206.45"
"2009","39","Texas Tech","206.43"
"2009","40","Nebraska","201.57"
"2009","41","Georgia Tech","201.51"
"2009","42","Wisconsin","199.62"
"2009","43","Pittsburgh","197.86"
"2009","44","TCU","196.02"
"2009","45","Kansas","195.98"
"2009","46","Utah","195.36"
"2009","47","Kentucky","193.54"
"2009","48","NC State","192.15"
"2009","49","Colorado","188.77"
"2009","50","Arizona","184.83"
"2009","51","Oregon State","184.11"
"2009","52","Southern Mississippi","183.50"
"2009","53","Baylor","183.32"
"2009","54","Duke","181.94"
"2009","55","BYU","181.77"
"2009","56","Cincinnati","176.05"
"2009","57","Louisville","174.46"
"2009","58","Tulsa","174.21"
"2009","59","Troy","172.43"
"2009","60","Vanderbilt","169.67"
"2009","61","Northwestern","169.62"
"2009","62","Wake Forest","167.36"
"2009","63","Washington State","166.89"
"2009","64","Iowa","165.44"
"2009","65","Boston College","164.59"
"2009","66","Indiana","163.75"
"2009","67","UCF","163.27"
"2009","68","Houston","162.28"
"2009","69","Boise State","161.31"
"2009","70","Kansas State","160.93"
"2009","71","Purdue","160.65"
"2009","72","Iowa State","159.69"
"2009","73","SMU","159.25"
"2009","74","Louisiana Tech","155.85"
"2009","75","Washington","154.97"
"2009","76","Central Michigan","154.04"
"2009","77","Florida International","152.22"
"2009","78","Hawai'i","151.83"
"2009","79","Tulane","150.56"
"2009","80","UAB","149.82"
"2009","81","Connecticut","142.56"
"2009","82","Middle Tennessee","135.97"
"2009","83","Rice","133.54"
"2009","84","UNLV","132.75"
"2009","85","San Diego State","131.67"
"2009","86","Toledo","131.44"
"2009","87","Fresno State","130.40"
"2009","88","Memphis","130.01"
"2009","89","Miami (OH)","129.69"
"2009","90","Bowling Green","129.11"
"2009","91","Marshall","128.95"
"2009","92","Syracuse","128.00"
"2009","93","Kent State","125.90"
"2009","94","Colorado State","125.17"
"2009","95","Akron","124.68"
"2009","96","Wyoming","124.54"
"2009","97","East Carolina","124.38"
"2009","98","Western Michigan","123.17"
"2009","99","Nevada","120.06"
"2009","100","North Texas","116.92"
"2009","101","Louisiana Monroe","116.77"
"2009","102","Northern Illinois","114.72"
"2009","103","Ohio","105.11"
"2009","104","Eastern Michigan","102.10"
"2009","105","Air Force","95.62"
"2009","106","New Mexico","95.54"
"2009","107","New Mexico State","91.92"
"2009","108","Buffalo","90.58"
"2009","109","Utah State","84.41"
"2009","110","Temple","82.03"
"2009","111","Arkansas State","80.06"
"2009","112","Idaho","78.81"
"2009","113","Louisiana","77.11"
"2009","114","Army","68.46"
"2009","115","Navy","19.31"
"2009","116","Illinois State","18.75"
"2009","117","Alabama State","6.67"
"2009","118","San José State","0.00"
