"Year","Rank","Team","Points"
"2010","1","Florida","324.62"
"2010","2","Texas","312.07"
"2010","3","USC","294.73"
"2010","4","Alabama","284.20"
"2010","5","Oklahoma","283.58"
"2010","6","Auburn","277.20"
"2010","7","Tennessee","271.56"
"2010","8","Florida State","271.41"
"2010","9","LSU","267.84"
"2010","10","UCLA","263.81"
"2010","11","Georgia","259.87"
"2010","12","Oregon","250.88"
"2010","13","Penn State","249.63"
"2010","14","Miami","249.55"
"2010","15","Notre Dame","241.92"
"2010","16","Texas A&M","240.98"
"2010","17","Michigan","237.54"
"2010","18","Ohio State","237.38"
"2010","19","Washington","234.35"
"2010","20","California","233.80"
"2010","21","Missouri","229.00"
"2010","22","Michigan State","225.56"
"2010","23","North Carolina","224.64"
"2010","24","Ole Miss","223.70"
"2010","25","Stanford","223.33"
"2010","26","Nebraska","219.70"
"2010","27","Clemson","218.08"
"2010","28","Virginia Tech","214.01"
"2010","29","Oklahoma State","213.10"
"2010","30","Mississippi State","212.47"
"2010","31","Pittsburgh","212.43"
"2010","32","West Virginia","211.69"
"2010","33","BYU","211.56"
"2010","34","South Carolina","210.39"
"2010","35","NC State","208.25"
"2010","36","Iowa","208.14"
"2010","37","Texas Tech","207.32"
"2010","38","Baylor","206.15"
"2010","39","Maryland","205.67"
"2010","40","Arizona State","203.28"
"2010","41","Arkansas","203.21"
"2010","42","Utah","202.20"
"2010","43","Georgia Tech","201.21"
"2010","44","Louisville","197.18"
"2010","45","Boston College","196.90"
"2010","46","Wisconsin","194.33"
"2010","47","TCU","192.08"
"2010","48","Southern Mississippi","191.15"
"2010","49","Kentucky","190.83"
"2010","50","UCF","189.21"
"2010","51","Vanderbilt","188.39"
"2010","52","Minnesota","186.47"
"2010","53","Purdue","186.34"
"2010","54","Rutgers","186.09"
"2010","55","Houston","185.42"
"2010","56","Cincinnati","184.21"
"2010","57","Colorado","183.91"
"2010","58","Arizona","183.75"
"2010","59","South Florida","182.46"
"2010","60","Syracuse","180.14"
"2010","61","Illinois","180.07"
"2010","62","Oregon State","178.62"
"2010","63","Wake Forest","178.48"
"2010","64","Kansas","177.90"
"2010","65","Washington State","177.38"
"2010","66","SMU","177.12"
"2010","67","Northwestern","176.85"
"2010","68","Iowa State","175.20"
"2010","69","Fresno State","175.17"
"2010","70","Colorado State","172.59"
"2010","71","Memphis","172.54"
"2010","72","Tulsa","172.19"
"2010","73","Duke","171.81"
"2010","74","Virginia","170.27"
"2010","75","San Diego State","165.98"
"2010","76","Kansas State","164.45"
"2010","77","Indiana","164.39"
"2010","78","Marshall","164.29"
"2010","79","New Mexico","157.08"
"2010","80","Hawai'i","155.71"
"2010","81","Louisiana Tech","154.22"
"2010","82","Florida International","153.54"
"2010","83","East Carolina","152.95"
"2010","84","Connecticut","151.10"
"2010","85","UTEP","150.87"
"2010","86","UAB","150.49"
"2010","87","Toledo","149.24"
"2010","88","Western Michigan","146.63"
"2010","89","Bowling Green","146.16"
"2010","90","Tulane","145.27"
"2010","91","Nevada","144.64"
"2010","92","Rice","144.16"
"2010","93","Ball State","142.28"
"2010","94","Arkansas State","142.14"
"2010","95","Temple","141.31"
"2010","96","San José State","140.49"
"2010","97","Idaho","140.01"
"2010","98","Northern Illinois","139.25"
"2010","99","Wyoming","138.94"
"2010","100","Miami (OH)","138.32"
"2010","101","Kent State","138.28"
"2010","102","Akron","136.89"
"2010","103","UNLV","136.45"
"2010","104","New Mexico State","132.06"
"2010","105","Utah State","127.94"
"2010","106","Central Michigan","127.67"
"2010","107","Western Kentucky","126.31"
"2010","108","Buffalo","125.67"
"2010","109","Troy","117.28"
"2010","110","Boise State","115.97"
"2010","111","Eastern Michigan","110.90"
"2010","112","Ohio","101.59"
"2010","113","Army","99.95"
"2010","114","Middle Tennessee","88.46"
"2010","115","Louisiana","86.44"
"2010","116","Louisiana Monroe","85.12"
"2010","117","North Texas","83.28"
"2010","118","Florida Atlantic","66.11"
"2010","119","Navy","38.65"
"2010","120","Air Force","26.17"
"2010","121","Georgia Southern","13.33"
"2010","122","Norfolk State","6.67"
"2010","123","New Hampshire","6.67"
"2010","125","Georgia State","0.00"
