"Year","Rank","Team","Points"
"2004","1","Florida State","292.97"
"2004","2","USC","291.67"
"2004","3","Miami","291.61"
"2004","4","LSU","287.64"
"2004","5","Florida","273.50"
"2004","6","Michigan","269.95"
"2004","7","Georgia","267.62"
"2004","8","Oklahoma","261.38"
"2004","9","Texas","256.03"
"2004","10","Texas A&M","241.23"
"2004","11","Tennessee","235.04"
"2004","12","Oregon","234.92"
"2004","13","Penn State","221.53"
"2004","14","Kansas State","208.77"
"2004","15","Michigan State","206.60"
"2004","16","Maryland","204.06"
"2004","17","Purdue","202.84"
"2004","18","Arkansas","199.85"
"2004","19","Missouri","197.15"
"2004","20","California","196.23"
"2004","21","Alabama","191.78"
"2004","22","Washington State","191.68"
"2004","23","Arizona State","191.49"
"2004","24","Oklahoma State","191.12"
"2004","25","Washington","190.58"
"2004","26","Oregon State","188.90"
"2004","27","Nebraska","188.00"
"2004","28","North Carolina","185.10"
"2004","29","South Carolina","182.49"
"2004","30","Auburn","182.43"
"2004","31","UCLA","177.82"
"2004","32","Boston College","177.34"
"2004","33","Ole Miss","177.18"
"2004","34","Virginia Tech","175.27"
"2004","35","Notre Dame","168.32"
"2004","36","Wisconsin","162.48"
"2004","37","Virginia","160.63"
"2004","38","West Virginia","157.73"
"2004","39","Texas Tech","157.29"
"2004","40","NC State","155.87"
"2004","41","Arizona","154.87"
"2004","42","Pittsburgh","154.42"
"2004","43","South Florida","154.25"
"2004","44","Clemson","145.22"
"2004","45","San Diego State","145.04"
"2004","46","Iowa State","143.53"
"2004","47","Colorado","143.15"
"2004","48","Georgia Tech","141.96"
"2004","49","Rutgers","138.98"
"2004","50","TCU","131.89"
"2004","51","BYU","130.71"
"2004","52","Kansas","130.26"
"2004","53","Minnesota","128.67"
"2004","54","Indiana","125.43"
"2004","55","Ohio State","124.55"
"2004","56","Mississippi State","123.23"
"2004","57","Illinois","122.38"
"2004","58","Colorado State","122.11"
"2004","59","Syracuse","118.35"
"2004","60","Stanford","115.28"
"2004","61","Utah","113.22"
"2004","62","Tulane","111.61"
"2004","63","Louisville","109.80"
"2004","64","Memphis","109.55"
"2004","65","Southern Mississippi","109.50"
"2004","66","Utah State","108.15"
"2004","67","Duke","107.79"
"2004","68","Tulsa","105.54"
"2004","69","East Carolina","102.81"
"2004","70","Vanderbilt","101.95"
"2004","71","Middle Tennessee","99.28"
"2004","72","SMU","98.61"
"2004","73","Wyoming","94.90"
"2004","74","Boise State","94.26"
"2004","75","Toledo","94.07"
"2004","76","Houston","93.19"
"2004","77","Troy","91.49"
"2004","78","Marshall","91.43"
"2004","79","Hawai'i","91.28"
"2004","80","Temple","90.32"
"2004","81","UAB","88.92"
"2004","82","Arkansas State","88.33"
"2004","83","Connecticut","87.28"
"2004","84","UNLV","86.81"
"2004","85","North Texas","85.46"
"2004","86","Western Michigan","85.24"
"2004","87","Northern Illinois","84.31"
"2004","88","New Mexico","83.14"
"2004","89","Bowling Green","82.68"
"2004","90","Northwestern","82.28"
"2004","91","Nevada","81.94"
"2004","92","Ohio","80.84"
"2004","93","Baylor","80.82"
"2004","94","San José State","79.57"
"2004","95","Idaho","79.45"
"2004","96","Louisiana Tech","78.11"
"2004","97","Louisiana","77.34"
"2004","98","Ball State","76.90"
"2004","99","New Mexico State","76.58"
"2004","100","Louisiana Monroe","76.25"
"2004","101","Akron","75.91"
"2004","102","Wake Forest","75.52"
"2004","103","UCF","73.92"
"2004","104","Cincinnati","72.99"
"2004","105","Eastern Michigan","72.70"
"2004","106","Fresno State","72.67"
"2004","107","Central Michigan","72.40"
"2004","108","Miami (OH)","72.08"
"2004","109","Buffalo","72.05"
"2004","110","Rice","69.01"
"2004","111","Kent State","67.72"
"2004","112","UTEP","58.88"
"2004","113","Navy","41.52"
"2004","114","Iowa","35.70"
"2004","115","Army","30.13"
"2004","116","Air Force","21.90"
"2004","117","Florida Atlantic","15.54"
"2004","118","Southern Illinois","13.29"
"2004","119","San Diego","6.67"
"2004","120","Florida International","4.44"
