"Year","Rank","Team","Points"
"2013","115","Akron","97.64"
"2013","116","Navy","97.15"
"2013","117","Ohio","96.79"
"2013","118","Kent State","95.27"
"2013","119","North Texas","93.60"
"2013","120","New Mexico State","92.08"
"2013","121","UTEP","88.53"
"2013","122","Old Dominion","87.47"
"2013","123","San José State","83.62"
"2013","124","Idaho","80.11"
"2013","125","Appalachian State","78.64"
"2013","126","Louisiana Monroe","77.32"
"2013","127","Army","74.07"
"2013","128","Buffalo","72.53"
"2013","129","Yale","70.19"
"2013","130","Harvard","51.51"
"2013","131","South Carolina State","50.71"
"2013","132","Tennessee Tech","47.01"
"2013","133","Samford","46.10"
"2013","134","Jacksonville State","42.28"
"2013","135","Georgia Southern","40.99"
"2013","136","Furman","37.08"
"2013","137","Coastal Carolina","35.72"
"2013","138","Chattanooga","34.29"
"2013","139","Pennsylvania","34.17"
"2013","140","Murray State","33.47"
"2013","141","Albany","32.80"
"2013","142","Sacramento State","31.16"
"2013","143","Tennessee State","30.63"
"2013","144","Richmond","29.99"
"2013","145","Central Arkansas","28.88"
"2013","146","Indiana State","28.73"
"2013","147","Delaware","28.63"
"2013","148","Jackson State","28.24"
"2013","149","Alcorn State","26.36"
"2013","150","Duquesne","25.58"
"2013","151","Southern Illinois","25.26"
"2013","153","Grand Valley State","24.73"
"2013","154","Eastern Washington","23.93"
"2013","155","Bethune-Cookman","23.74"
"2013","156","Villanova","22.47"
"2013","157","Montana State","22.21"
"2013","158","Illinois State","22.06"
"2013","159","Northern Arizona","21.71"
"2013","160","Southern","21.62"
"2013","161","The Citadel","21.42"
"2013","162","Stephen F. Austin","21.18"
"2013","163","Austin Peay","21.02"
"2013","164","Sam Houston State","20.96"
"2013","165","Lehigh","20.11"
"2013","166","Montana","19.94"
"2013","167","Stony Brook","19.72"
"2013","168","Wofford","18.40"
"2013","169","Southeastern Louisiana","17.21"
"2013","170","Northern Colorado","16.28"
"2013","171","McNeese","16.23"
"2013","172","Florida A&M","15.66"
"2013","173","Lamar","14.99"
"2013","174","Jacksonville","14.62"
"2013","177","VMI","13.93"
"2013","178","James Madison","13.66"
"2013","179","Wagner","13.06"
"2013","180","Houston Christian","12.64"
"2013","181","Brown","11.99"
"2013","182","William & Mary","11.99"
"2013","184","Columbia","10.79"
"2013","185","South Dakota State","10.00"
"2013","186","Alabama A&M","9.99"
"2013","187","Presbyterian College","9.99"
"2013","188","Towson","9.94"
"2013","189","Colgate","9.83"
"2013","192","Youngstown State","9.05"
"2013","193","UC Davis","8.98"
"2013","194","UT Martin","8.82"
"2013","195","Fordham","8.51"
"2013","196","Alabama State","8.12"
"2013","197","Stetson","7.98"
"2013","198","Western Carolina","7.83"
"2013","199","Bucknell","7.79"
"2013","200","Maine","7.32"
"2013","202","Portland State","6.81"
"2013","203","Weber State","6.67"
"2013","204","Northern Iowa","6.67"
"2013","205","Grambling","6.67"
"2013","206","Western Illinois","6.67"
"2013","207","Southeast Missouri State","6.67"
"2013","208","North Dakota","6.67"
"2013","209","South Dakota","6.67"
"2013","210","Gardner-Webb","5.98"
"2013","212","Texas Southern","3.33"
"2013","213","Dartmouth","3.31"
"2013","214","Elon","1.97"
"2013","215","Rhode Island","0.00"
"2013","216","Robert Morris","0.00"
"2013","217","Georgetown","0.00"
"2013","218","North Dakota State","0.00"
