"Year","Rank","Team","Points"
"2013","1","Alabama","319.50"
"2013","2","Ohio State","303.35"
"2013","3","Florida","291.89"
"2013","4","Michigan","288.74"
"2013","5","Notre Dame","284.77"
"2013","6","LSU","281.05"
"2013","7","UCLA","276.33"
"2013","8","Ole Miss","275.52"
"2013","9","Texas A&M","267.75"
"2013","10","Auburn","267.46"
"2013","11","Florida State","262.69"
"2013","12","Georgia","260.38"
"2013","13","USC","256.44"
"2013","14","Miami","249.66"
"2013","15","Clemson","249.66"
"2013","16","Oklahoma","241.93"
"2013","17","Texas","234.52"
"2013","18","Washington","234.20"
"2013","19","Oregon","227.16"
"2013","20","South Carolina","224.01"
"2013","21","Virginia Tech","223.82"
"2013","22","Nebraska","220.72"
"2013","23","Arkansas","216.60"
"2013","24","Mississippi State","214.76"
"2013","25","Tennessee","214.06"
"2013","26","Vanderbilt","211.23"
"2013","27","Baylor","209.23"
"2013","28","North Carolina","206.42"
"2013","29","Virginia","201.88"
"2013","30","West Virginia","201.03"
"2013","31","Oklahoma State","199.52"
"2013","32","Pittsburgh","196.04"
"2013","33","Penn State","195.70"
"2013","34","Kentucky","195.55"
"2013","35","TCU","194.83"
"2013","36","Louisville","194.03"
"2013","37","Michigan State","193.96"
"2013","38","Maryland","193.11"
"2013","39","Arizona State","192.78"
"2013","40","Wisconsin","191.08"
"2013","41","California","190.85"
"2013","42","Indiana","190.33"
"2013","43","Missouri","189.91"
"2013","44","Arizona","188.91"
"2013","45","Oregon State","186.60"
"2013","46","Texas Tech","182.16"
"2013","47","Utah","181.27"
"2013","48","Rutgers","180.79"
"2013","49","Kansas","180.28"
"2013","50","Washington State","177.90"
"2013","51","Illinois","176.35"
"2013","52","Stanford","175.38"
"2013","53","Northwestern","174.64"
"2013","54","South Florida","173.74"
"2013","55","Boise State","173.51"
"2013","56","Iowa","171.96"
"2013","57","Houston","171.40"
"2013","58","Marshall","170.81"
"2013","59","NC State","166.04"
"2013","60","Cincinnati","162.33"
"2013","61","Purdue","162.05"
"2013","62","Connecticut","160.61"
"2013","63","Iowa State","159.52"
"2013","64","Kansas State","158.71"
"2013","65","Wake Forest","153.00"
"2013","66","BYU","152.55"
"2013","67","Minnesota","152.11"
"2013","68","Colorado","151.29"
"2013","69","San Diego State","151.17"
"2013","70","Georgia Tech","149.34"
"2013","71","Duke","148.96"
"2013","72","SMU","148.40"
"2013","73","East Carolina","146.66"
"2013","74","Syracuse","144.37"
"2013","75","Fresno State","142.76"
"2013","76","Toledo","141.96"
"2013","77","Temple","140.29"
"2013","78","Hawai'i","139.50"
"2013","79","UCF","139.32"
"2013","80","Louisiana","138.35"
"2013","81","Tulsa","138.11"
"2013","82","Southern Mississippi","136.46"
"2013","83","Tulane","133.37"
"2013","84","Colorado State","132.61"
"2013","85","Bowling Green","131.36"
"2013","86","Boston College","126.19"
"2013","87","Middle Tennessee","125.23"
"2013","88","Nevada","124.94"
"2013","89","Louisiana Tech","124.51"
"2013","90","Memphis","123.56"
"2013","91","Rice","123.22"
"2013","92","South Alabama","123.16"
"2013","93","New Mexico","122.45"
"2013","94","Texas State","120.48"
"2013","95","Western Kentucky","120.24"
"2013","96","Florida Atlantic","119.58"
"2013","97","UAB","118.27"
"2013","98","UNLV","117.06"
"2013","99","Troy","114.51"
"2013","100","Arkansas State","113.75"
"2013","101","UMass","112.55"
"2013","102","Northern Illinois","108.89"
"2013","103","UT San Antonio","108.72"
"2013","104","Central Michigan","108.05"
"2013","105","Ball State","107.69"
"2013","106","Miami (OH)","107.36"
"2013","107","Air Force","106.74"
"2013","108","Western Michigan","106.64"
"2013","109","Utah State","105.41"
"2013","110","Wyoming","101.61"
"2013","111","Georgia State","101.05"
"2013","112","Charlotte","100.75"
"2013","113","Eastern Michigan","98.58"
"2013","114","Florida International","98.08"
