"Year","Rank","Team","Points"
"2024","1","Georgia","317.05"
"2024","2","Alabama","310.75"
"2024","3","Oregon","293.22"
"2024","4","Miami","291.54"
"2024","5","Ohio State","289.13"
"2024","6","Texas","286.92"
"2024","7","LSU","278.75"
"2024","8","Oklahoma","275.64"
"2024","9","Notre Dame","275.57"
"2024","10","Auburn","275.39"
"2024","11","Clemson","272.19"
"2024","12","Florida State","271.76"
"2024","13","Florida","268.25"
"2024","14","Tennessee","267.26"
"2024","15","Penn State","265.61"
"2024","16","Michigan","261.94"
"2024","17","USC","253.78"
"2024","18","Nebraska","247.5"
"2024","19","Texas A&M","245.18"
"2024","20","Missouri","241.93"
"2024","21","Ole Miss","240.2"
"2024","22","South Carolina","239.75"
"2024","23","Wisconsin","239.1"
"2024","24","Kentucky","236.86"
"2024","25","Texas Tech","236.09"
"2024","26","North Carolina","228.83"
"2024","27","NC State","225.02"
"2024","28","Mississippi State","223.21"
"2024","29","Purdue","217.71"
"2024","30","Stanford","217.17"
"2024","31","Arkansas","216.66"
"2024","32","Iowa","215.41"
"2024","33","Georgia Tech","214"
"2024","34","TCU","213.87"
"2024","35","UCF","212.83"
"2024","36","Rutgers","211.78"
"2024","37","Minnesota","211.62"
"2024","38","Syracuse","210.55"
"2024","39","Maryland","209.92"
"2024","40","Vanderbilt","207.79"
"2024","41","Pittsburgh","204.1"
"2024","42","Michigan State","203.52"
"2024","43","Kansas","203"
"2024","44","BYU","202.7"
"2024","45","Virginia Tech","202.61"
"2024","46","West Virginia","202.08"
"2024","47","Washington","201.79"
"2024","48","Arizona State","199.47"
"2024","49","Illinois","198.84"
"2024","50","South Florida","197.92"
"2024","51","Cincinnati","196.87"
"2024","52","Wake Forest","196.48"
"2024","53","Iowa State","192.29"
"2024","54","Tulsa","191.84"
"2024","55","California","190.2"
"2024","56","Oklahoma State","189.96"
"2024","57","Kansas State","187.58"
"2024","58","Louisville","186.52"
"2024","59","Utah","184.77"
"2024","60","Houston","184"
"2024","61","Duke","183.9"
"2024","62","Washington State","181.7"
"2024","63","Tulane","181.26"
"2024","64","Boise State","181.19"
"2024","65","Indiana","179.89"
"2024","66","Toledo","179.4"
"2024","67","Baylor","179.04"
"2024","68","Memphis","176.2"
"2024","69","Colorado State","172.05"
"2024","70","North Texas","172.01"
"2024","71","Western Michigan","171.51"
"2024","72","San Diego State","171.46"
"2024","73","East Carolina","171.38"
"2024","74","Charlotte","169.59"
"2024","75","Coastal Carolina","169.22"
"2024","76","UNLV","168.14"
"2024","77","Southern Mississippi","167.67"
"2024","78","Arkansas State","167.29"
"2024","79","Florida Atlantic","166.84"
"2024","80","Northwestern","165.73"
"2024","81","Colorado","165.05"
"2024","82","Miami (OH)","164.93"
"2024","83","UTEP","163.05"
"2024","84","South Alabama","162.93"
"2024","85","Arizona","162.29"
"2024","86","Fresno State","160.65"
"2024","87","Oregon State","159.84"
"2024","88","Virginia","159.74"
"2024","89","Troy","159.41"
"2024","90","UCLA","157.07"
"2024","91","Georgia Southern","156.6"
"2024","92","Ohio","156.49"
"2024","93","Eastern Michigan","156.11"
"2024","94","Appalachian State","155.02"
"2024","95","Boston College","153.23"
"2024","96","Texas State","152.53"
"2024","97","Kent State","151.54"
"2024","98","UAB","150.94"
"2024","99","Northern Illinois","149.96"
"2024","100","Bowling Green","149.29"
"2024","101","Akron","146.65"
"2024","102","Wyoming","146.14"
"2024","103","Marshall","145.69"
"2024","104","San José State","145.06"
"2024","105","Liberty","142.69"
"2024","106","Central Michigan","142.13"
"2024","107","SMU","142.05"
"2024","108","James Madison","141.41"
"2024","109","Florida International","141.29"
"2024","110","Buffalo","140.65"
"2024","111","Western Kentucky","140.12"
"2024","112","Ball State","140.08"
"2024","113","Louisiana Tech","139.16"
