"Year","Rank","Team","Points"
"2001","1","Florida State","256.86"
"2001","2","LSU","206.53"
"2001","3","Michigan","204.24"
"2001","4","Tennessee","184.16"
"2001","5","Oklahoma","155.82"
"2001","6","Ohio State","155.45"
"2001","7","Auburn","126.96"
"2001","8","Miami","110.37"
"2001","9","Arkansas","110.15"
"2001","10","Georgia","109.90"
"2001","11","Texas","109.14"
"2001","12","Notre Dame","108.06"
"2001","13","UCLA","106.91"
"2001","14","Stanford","84.71"
"2001","15","Washington","84.23"
"2001","16","Virginia Tech","82.72"
"2001","17","Penn State","80.65"
"2001","18","Kansas State","80.08"
"2001","19","Clemson","58.00"
"2001","20","USC","57.46"
"2001","21","Iowa","56.95"
"2001","22","Wisconsin","56.14"
"2001","23","Ole Miss","55.60"
"2001","24","Oregon State","55.53"
"2001","25","South Carolina","54.01"
"2001","26","Northwestern","52.85"
"2001","27","Arizona","52.65"
"2001","28","Alabama","29.86"
"2001","29","Syracuse","29.20"
"2001","30","Virginia","28.71"
"2001","31","Texas A&M","28.63"
"2001","32","California","28.61"
"2001","33","Missouri","27.69"
"2001","34","Oregon","27.69"
"2001","35","Memphis","27.59"
"2001","36","Colorado","27.51"
"2001","37","North Carolina","27.39"
"2001","38","Pittsburgh","27.03"
"2001","39","Nebraska","26.91"
"2001","40","Illinois","26.83"
"2001","41","Purdue","26.81"
"2001","42","Arizona State","26.63"
"2001","43","NC State","26.51"
"2001","44","Michigan State","26.51"
"2001","45","Mississippi State","26.35"
"2001","46","Colorado State","26.31"
"2001","47","Florida","26.18"
"2001","48","Boston College","26.14"
"2001","49","Vanderbilt","26.02"
"2001","50","Middle Tennessee","23.82"
"2001","51","Harvard","0.00"
"2001","51","Maryland","0.00"
"2001","51","Rice","0.00"
"2001","51","Louisville","0.00"
"2001","51","Houston","0.00"
"2001","51","Kentucky","0.00"
"2001","51","Utah","0.00"
"2001","51","Indiana","0.00"
"2001","51","Iowa State","0.00"
"2001","51","Hawai'i","0.00"
"2001","51","Washington State","0.00"
"2001","51","Georgia Tech","0.00"
"2001","51","West Virginia","0.00"
"2001","51","Fresno State","0.00"
"2001","51","UC Davis","0.00"
"2001","51","Tulsa","0.00"
"2001","51","Minnesota","0.00"
"2001","51","Oklahoma State","0.00"
"2001","51","Akron","0.00"
"2001","51","Cincinnati","0.00"
"2001","51","Connecticut","0.00"
"2001","51","Kansas","0.00"
"2001","51","East Carolina","0.00"
"2001","51","Louisiana Tech","0.00"
"2001","51","San José State","0.00"
"2001","51","UNLV","0.00"
"2001","51","Nevada","0.00"
"2001","51","Northern Colorado","0.00"
"2001","51","San Diego State","0.00"
"2001","51","New Mexico","0.00"
"2001","51","Southeast Missouri State","0.00"
"2001","51","SMU","0.00"
"2001","51","Southern Mississippi","0.00"
"2001","51","Rutgers","0.00"
"2001","51","TCU","0.00"
"2001","51","UAB","0.00"
"2001","51","UTEP","0.00"
"2001","51","Texas Tech","0.00"
"2001","51","Toledo","0.00"
"2001","51","Troy","0.00"
"2001","51","Tulane","0.00"
"2001","51","Western Michigan","0.00"
"2001","51","Temple","0.00"
"2001","51","Wyoming","0.00"
"2001","51","Villanova","0.00"
