"Year","Rank","Team","Points"
"2008","1","Miami","302.60"
"2008","2","Notre Dame","295.57"
"2008","3","Alabama","291.61"
"2008","4","USC","290.34"
"2008","5","Florida","286.27"
"2008","6","Oklahoma","284.83"
"2008","7","Georgia","281.95"
"2008","8","Texas","271.60"
"2008","9","Clemson","271.35"
"2008","10","Ohio State","271.03"
"2008","11","Michigan","261.55"
"2008","12","Florida State","259.98"
"2008","13","LSU","259.67"
"2008","14","UCLA","250.33"
"2008","15","Colorado","236.08"
"2008","16","Texas A&M","228.03"
"2008","17","Arizona State","225.65"
"2008","18","Virginia Tech","225.32"
"2008","19","Washington","225.25"
"2008","20","Pittsburgh","224.64"
"2008","21","Auburn","224.19"
"2008","22","Illinois","220.63"
"2008","23","NC State","218.20"
"2008","24","Nebraska","215.29"
"2008","25","Arkansas","214.90"
"2008","26","Minnesota","214.00"
"2008","27","Arizona","209.08"
"2008","28","Missouri","207.90"
"2008","29","California","205.43"
"2008","30","North Carolina","205.05"
"2008","31","Ole Miss","204.46"
"2008","32","Oklahoma State","204.03"
"2008","33","Tennessee","203.39"
"2008","34","Oregon","200.86"
"2008","35","South Carolina","198.87"
"2008","36","Kansas State","198.72"
"2008","37","Wisconsin","192.63"
"2008","38","Boston College","191.79"
"2008","39","Southern Mississippi","190.75"
"2008","40","Penn State","189.29"
"2008","41","Maryland","186.96"
"2008","42","Michigan State","186.02"
"2008","43","Kansas","184.11"
"2008","44","Rutgers","182.51"
"2008","45","BYU","176.15"
"2008","46","Louisville","175.97"
"2008","47","Stanford","175.60"
"2008","48","Purdue","171.26"
"2008","49","West Virginia","169.81"
"2008","50","Iowa","169.80"
"2008","51","Georgia Tech","168.44"
"2008","52","Syracuse","166.43"
"2008","53","Mississippi State","165.14"
"2008","54","UCF","162.50"
"2008","55","Oregon State","162.02"
"2008","56","Virginia","158.94"
"2008","57","North Texas","158.80"
"2008","58","Baylor","157.42"
"2008","59","Iowa State","155.21"
"2008","60","Kentucky","153.99"
"2008","61","Utah","152.27"
"2008","62","Wake Forest","150.75"
"2008","63","Middle Tennessee","149.84"
"2008","64","Marshall","147.08"
"2008","65","Memphis","146.77"
"2008","66","Washington State","146.27"
"2008","67","Duke","145.79"
"2008","68","Indiana","145.51"
"2008","69","Troy","144.61"
"2008","70","Fresno State","143.22"
"2008","71","Northwestern","141.43"
"2008","72","Tulsa","137.20"
"2008","73","Hawai'i","134.54"
"2008","74","TCU","133.71"
"2008","75","Texas Tech","131.78"
"2008","76","Vanderbilt","130.16"
"2008","77","Houston","129.82"
"2008","78","Temple","128.86"
"2008","79","Toledo","128.48"
"2008","80","South Florida","128.07"
"2008","81","Connecticut","124.74"
"2008","82","Louisiana Tech","124.43"
"2008","83","San Diego State","123.85"
"2008","84","Florida International","123.67"
"2008","85","SMU","123.62"
"2008","86","East Carolina","119.53"
"2008","87","Boise State","118.14"
"2008","88","Ohio","117.01"
"2008","89","Western Michigan","116.96"
"2008","90","Louisiana Monroe","116.95"
"2008","91","Colorado State","114.44"
"2008","92","Rice","113.79"
"2008","93","Nevada","113.23"
"2008","94","Kent State","112.84"
"2008","95","Wyoming","110.78"
"2008","96","New Mexico","109.80"
"2008","97","Akron","106.94"
"2008","98","UAB","105.82"
"2008","99","Miami (OH)","105.20"
"2008","100","UNLV","104.57"
"2008","101","Central Michigan","100.63"
"2008","102","Tulane","97.06"
"2008","103","New Mexico State","92.38"
"2008","104","Cincinnati","90.28"
"2008","105","Arkansas State","85.47"
"2008","106","Ball State","85.39"
"2008","107","Idaho","83.12"
"2008","108","Louisiana","82.66"
"2008","109","San José State","77.78"
"2008","110","Eastern Michigan","77.66"
"2008","111","Utah State","76.17"
"2008","112","Bowling Green","71.09"
"2008","113","Navy","67.88"
"2008","114","Buffalo","65.34"
"2008","115","Northern Illinois","64.56"
"2008","116","Army","57.21"
"2008","117","Air Force","23.97"
"2008","118","Princeton","4.44"
