"Year","Rank","Team","Points"
"2014","1","Alabama","319.71"
"2014","2","LSU","299.29"
"2014","3","Ohio State","296.08"
"2014","4","Florida State","286.79"
"2014","5","Texas A&M","278.08"
"2014","6","Auburn","277.12"
"2014","7","Tennessee","274.77"
"2014","8","Georgia","273.39"
"2014","9","Florida","267.40"
"2014","10","USC","264.86"
"2014","11","Notre Dame","260.44"
"2014","12","Miami","256.08"
"2014","13","Stanford","250.05"
"2014","14","Oklahoma","248.94"
"2014","15","Ole Miss","241.12"
"2014","16","Clemson","240.73"
"2014","17","Texas","239.85"
"2014","18","UCLA","239.74"
"2014","19","South Carolina","239.33"
"2014","20","Michigan","233.54"
"2014","21","Oregon","232.44"
"2014","22","Kentucky","225.40"
"2014","23","Arizona State","223.19"
"2014","24","Penn State","221.35"
"2014","25","Baylor","218.13"
"2014","26","Michigan State","217.62"
"2014","27","Oklahoma State","217.59"
"2014","28","Virginia Tech","217.39"
"2014","29","Arkansas","215.50"
"2014","30","North Carolina","213.58"
"2014","31","Arizona","213.29"
"2014","32","Wisconsin","205.44"
"2014","33","Virginia","205.34"
"2014","34","NC State","201.31"
"2014","35","Nebraska","200.24"
"2014","36","Mississippi State","199.92"
"2014","37","Missouri","198.53"
"2014","38","Washington","198.52"
"2014","39","West Virginia","194.85"
"2014","40","Texas Tech","191.82"
"2014","41","Maryland","190.98"
"2014","42","South Florida","189.74"
"2014","43","TCU","188.64"
"2014","44","Pittsburgh","187.66"
"2014","45","Louisville","183.64"
"2014","46","Vanderbilt","183.05"
"2014","47","Northwestern","182.68"
"2014","48","Indiana","180.46"
"2014","49","Kansas State","178.29"
"2014","50","Kansas","177.14"
"2014","51","Boston College","177.12"
"2014","52","Syracuse","176.87"
"2014","53","Washington State","176.62"
"2014","54","Georgia Tech","175.71"
"2014","55","California","174.52"
"2014","56","Rutgers","174.14"
"2014","57","Minnesota","172.32"
"2014","58","Iowa","171.84"
"2014","59","Iowa State","171.65"
"2014","60","Oregon State","166.96"
"2014","61","Duke","166.35"
"2014","62","Marshall","165.64"
"2014","63","Boise State","163.09"
"2014","64","BYU","161.71"
"2014","65","Cincinnati","161.43"
"2014","66","Utah","160.67"
"2014","67","Wake Forest","160.40"
"2014","68","UCF","159.55"
"2014","69","Temple","156.27"
"2014","70","Purdue","156.02"
"2014","71","Western Michigan","153.42"
"2014","72","Illinois","153.35"
"2014","73","San Diego State","147.92"
"2014","74","Colorado","147.90"
"2014","75","Houston","144.26"
"2014","76","East Carolina","136.87"
"2014","77","Old Dominion","136.07"
"2014","78","Memphis","135.91"
"2014","79","Tulsa","130.30"
"2014","80","SMU","128.23"
"2014","81","Nevada","126.15"
"2014","82","Southern Mississippi","125.74"
"2014","83","San José State","124.98"
"2014","84","Fresno State","124.42"
"2014","85","Middle Tennessee","124.03"
"2014","86","Colorado State","122.77"
"2014","87","Appalachian State","121.25"
"2014","88","Western Kentucky","121.12"
"2014","89","Louisiana Tech","119.17"
"2014","90","Tulane","118.86"
"2014","91","Rice","117.70"
"2014","92","Toledo","115.38"
"2014","93","New Mexico","112.56"
"2014","94","Florida Atlantic","111.77"
"2014","95","Arkansas State","111.51"
"2014","96","Georgia Southern","111.25"
"2014","97","Texas State","109.90"
"2014","98","Northern Illinois","109.52"
"2014","99","Hawai'i","108.34"
"2014","100","Buffalo","108.06"
"2014","101","Ball State","107.53"
"2014","102","Ohio","105.12"
"2014","103","North Texas","105.00"
"2014","104","Yale","103.87"
"2014","105","Georgia State","102.91"
"2014","106","Bowling Green","102.64"
"2014","107","Louisiana","102.49"
"2014","108","Navy","101.90"
"2014","109","Florida International","100.66"
"2014","110","Connecticut","98.31"
"2014","111","Utah State","97.80"
"2014","112","Air Force","97.78"
"2014","113","Akron","97.33"
"2014","114","UAB","96.13"
"2014","115","South Alabama","96.08"
"2014","116","Central Michigan","91.20"
"2014","117","UNLV","91.15"
"2014","118","UTEP","89.53"
"2014","119","Charlotte","89.20"
"2014","120","UMass","87.90"
"2014","121","Army","87.22"
"2014","122","New Mexico State","86.79"
"2014","123","Kent State","86.65"
"2014","124","Eastern Michigan","84.89"
"2014","125","Miami (OH)","84.76"
"2014","126","Louisiana Monroe","84.48"
"2014","127","UT San Antonio","81.73"
"2014","128","Wyoming","80.87"
"2014","129","Idaho","77.86"
"2014","130","Illinois State","75.99"
"2014","131","Chattanooga","69.28"
"2014","132","Troy","64.21"
