"Year","Rank","Team","Points"
"2007","1","Florida","313.05"
"2007","2","USC","295.06"
"2007","3","Texas","293.10"
"2007","4","Tennessee","284.42"
"2007","5","LSU","282.25"
"2007","6","Notre Dame","274.05"
"2007","7","South Carolina","273.85"
"2007","8","Georgia","249.84"
"2007","9","Auburn","248.55"
"2007","10","North Carolina","244.08"
"2007","11","Michigan","242.81"
"2007","12","Alabama","241.78"
"2007","13","Miami","236.11"
"2007","14","Oregon","228.77"
"2007","15","Georgia Tech","225.49"
"2007","16","Clemson","221.47"
"2007","17","Ole Miss","221.24"
"2007","18","Oklahoma","220.60"
"2007","19","Nebraska","218.45"
"2007","20","Florida State","216.82"
"2007","21","Pittsburgh","216.08"
"2007","22","Illinois","212.85"
"2007","23","California","210.38"
"2007","24","West Virginia","210.32"
"2007","25","Oklahoma State","208.78"
"2007","26","Virginia Tech","208.21"
"2007","27","Colorado","207.66"
"2007","28","Virginia","207.49"
"2007","29","Iowa","199.85"
"2007","30","Missouri","199.83"
"2007","31","Rutgers","199.38"
"2007","32","Wisconsin","197.94"
"2007","33","Maryland","196.41"
"2007","34","Mississippi State","194.64"
"2007","35","Kansas State","189.40"
"2007","36","Arkansas","189.14"
"2007","37","Arizona State","187.91"
"2007","38","Washington","184.72"
"2007","39","Penn State","183.65"
"2007","40","Oregon State","177.75"
"2007","41","Texas A&M","171.74"
"2007","42","Texas Tech","170.43"
"2007","43","BYU","168.65"
"2007","44","Boston College","168.51"
"2007","45","Syracuse","168.09"
"2007","46","NC State","166.16"
"2007","47","Northwestern","165.66"
"2007","48","Minnesota","165.41"
"2007","49","Louisville","165.31"
"2007","50","Kansas","163.81"
"2007","51","Stanford","163.29"
"2007","52","Washington State","162.05"
"2007","53","Michigan State","160.17"
"2007","54","Iowa State","155.95"
"2007","55","TCU","155.69"
"2007","56","South Florida","154.98"
"2007","57","UCF","154.18"
"2007","58","Southern Mississippi","153.94"
"2007","59","Arizona","153.87"
"2007","60","Connecticut","152.51"
"2007","61","Purdue","151.99"
"2007","62","Utah","151.35"
"2007","63","Boise State","149.94"
"2007","64","Marshall","143.49"
"2007","65","Hawai'i","140.68"
"2007","66","Houston","137.41"
"2007","67","Troy","137.40"
"2007","68","San Diego State","135.97"
"2007","69","Wake Forest","133.78"
"2007","70","Temple","131.64"
"2007","71","Fresno State","129.21"
"2007","72","Ohio State","128.98"
"2007","73","Baylor","128.62"
"2007","74","Akron","128.55"
"2007","75","Vanderbilt","128.26"
"2007","76","Miami (OH)","127.03"
"2007","77","Duke","126.41"
"2007","78","Louisiana Tech","126.35"
"2007","79","Wyoming","124.82"
"2007","80","Indiana","123.89"
"2007","81","Colorado State","123.40"
"2007","82","Memphis","121.04"
"2007","83","Tulsa","120.23"
"2007","84","East Carolina","118.48"
"2007","85","SMU","117.93"
"2007","86","Toledo","117.60"
"2007","87","Cincinnati","111.09"
"2007","88","Ball State","110.69"
"2007","89","Rice","109.97"
"2007","90","UNLV","107.99"
"2007","91","UCLA","106.93"
"2007","92","North Texas","105.48"
"2007","93","Middle Tennessee","105.47"
"2007","94","San José State","104.09"
"2007","95","New Mexico","103.98"
"2007","96","Northern Illinois","97.06"
"2007","97","Kent State","95.57"
"2007","98","Florida International","93.66"
"2007","99","Nevada","89.62"
"2007","100","Idaho","88.76"
"2007","101","Western Michigan","88.37"
"2007","102","Tulane","85.40"
"2007","103","Louisiana","83.02"
"2007","104","New Mexico State","82.22"
"2007","105","UAB","81.18"
"2007","106","Central Michigan","80.68"
"2007","107","Utah State","75.98"
"2007","108","Arkansas State","75.26"
"2007","109","Ohio","71.71"
"2007","110","Louisiana Monroe","69.54"
"2007","111","Eastern Michigan","69.38"
"2007","112","Bowling Green","66.74"
"2007","113","Buffalo","61.45"
"2007","114","Air Force","32.03"
"2007","115","Kentucky","24.42"
"2007","116","Army","15.30"
